step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,4.858064773529769,3.3065748214721675,0.639273903220892,3.1577421027943497,4.90592016833447,4.858064773529769,4.858064773529769,0.47855394804701284,0.1,3,2,1,0.0,1.0,2,1,1,0.0,1.1168162822723389,0.34677982330322266,4.655100124329328,3.5404456019401547,0.0034677982330322266,0.2820698022842407,0.03364104777574539,1.0333088636398315,1.2938367128372192,-0.02468251623213291,-0.07539448142051697,0.026029448956251144,0.03364104777574539,1.259550520926714,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766791827976704,3.7994945481419564,6.481476174667478,3.6933181241154673,4.387020833045244,3.1473844872787597,4.90592016833447,4.90592016833447,4.90592016833447,greedy,4.90592016833447,0.0,hard_fault_cluster,0.006487673420500998,False
2,N2155,observe,1.457592248916626,3.2530965894460677,2.0179089665412904,0.6932365149259567,2.114512783139944,3.347037895727415,3.2530965894460677,3.2530965894460677,1.0,0.09394130628134759,2,2,0,0.0,1.0,1,1,0,0.0,1.457592248916626,0.4267202615737915,3.311336115002632,2.4864104151725765,0.004267202615737915,0.32851269841194153,0.025838786736130714,1.054674744606018,1.2836247682571411,0.04442992992699146,0.08139079064130783,0.007469069212675095,0.025838786736130714,1.6042756289243698,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979636900126934,7.359480464830995,3.146026192903519,7.020061178598553,3.2567780363559726,2.7994702607393265,2.269561876952648,3.347037895727415,8.252958064061886,8.252958064061886,greedy,3.347037895727415,0.0,hard_fault_cluster,0.1551532475782118,False
3,N502,control1,1.1366417407989502,2.1921067869663236,2.1148003101348873,0.1411621344089508,1.4248694115281104,2.261353969197514,2.1921067869663236,2.1921067869663236,0.7846733742451025,0.08824969025845955,3,2,1,0.0,1.0,2,1,1,0.0,1.1366417407989502,0.37319517135620117,1.754641768336296,2.0494791030883786,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.9808962345123291,1.2542778253555298,0.007919838652014732,0.0017244666814804077,0.014115210622549057,0.01918899454176426,-1.7808255773782733,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.2758267764002085,2.8671430099010466,5.981538651976734,2.8663930642604827,2.405900165438652,2.300244202259928,2.261353969197514,10.514312033259401,10.514312033259401,greedy,2.261353969197514,0.0,hard_fault_cluster,0.030087856541100008,False
4,N762,control1,0.911552369594574,1.4460939180850982,1.5994494915008544,0.06185806632041933,0.9399610467553139,1.4858708992665133,1.5109765348179807,1.5046821328509135,0.47980197931671886,0.08290291181804005,2,2,1,0.7826337496479061,1.0,2,1,1,0.7067087691009936,0.911552369594574,0.3220241069793701,0.8939645677804946,1.1617317676544188,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.9190900325775146,1.2738703489303589,0.008780492469668388,-0.0060859546065330505,0.023646939545869827,0.019666315987706184,-0.8204972726106643,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.25089667178690434,5.53969600982964,1.1226565885543822,5.283428192604333,1.0556051182746886,1.3425390362739564,1.5400503179430962,1.4858708992665133,12.000182932525915,12.000182932525915,greedy,1.4858708992665133,0.0,hard_fault_cluster,0.03266608007039155,False
5,N3742,control0,0.7222740650177002,0.865053427554667,2.2954659044742582,0.14510735023766758,0.5622847279105335,0.9084396519429696,0.865053427554667,0.865053427554667,0.5570901484869815,0.0778800783071405,2,3,0,0.0,0.6901585341738329,1,2,0,0.0,0.7222740650177002,0.30962061882019043,0.8075463380664587,0.7869540154933929,0.0030962061882019044,0.38254740834236145,0.02135230042040348,0.7868216037750244,1.328253149986267,0.05221298895776272,0.12761706113815308,-0.02319108322262764,0.02135230042040348,-0.0045474436879158475,0.049445077776908875,0.13231901824474335,0.02771998941898346,30589.94921875,13108.4775390625,17481.470703125,30546.490234375,13047.29296875,17499.197265625,0.0014206948690116405,0.004667557310312986,-0.001014020061120391,0.14206948690116405,5.275480696931481,1.228048669397831,5.027251007501036,1.3559304943680763,0.8645815178751945,1.99535370670259,0.9084396519429696,12.908622584468885,12.908622584468885,greedy,0.9084396519429696,0.0,hard_fault_cluster,0.010324179227751392,False
6,N3644,control0,0.7473889589309692,1.48906403362751,2.8708456873893735,0.07143973171710971,0.9678916218578816,1.4831647247103572,1.48906403362751,1.48906403362751,-0.08063399254669408,0.07316156289466418,1,3,0,0.0,-0.15793174250275877,0,2,0,0.0,0.7473889589309692,0.3026055097579956,0.9449074640870094,2.385872972011566,0.003026055097579956,0.39635252952575684,0.020910421386361122,0.7429400682449341,1.2619951963424683,0.06848339177668095,0.13297495245933533,0.0039918310940265656,0.020910421386361122,-0.7454595252871514,0.04656650125980377,0.1306355595588684,0.025381986051797867,30546.37890625,13047.17578125,17499.203125,30307.24609375,12886.3076171875,17420.9375,0.007828515954315662,0.01232973113656044,0.004472524859011173,0.7828515954315662,4.980166057124734,0.7750341171026229,4.737529108766466,0.7508540028333663,1.3211556255817414,2.6820587423443794,1.4831647247103572,14.391787309179243,14.391787309179243,greedy,1.4831647247103572,0.0,hard_fault_cluster,0.04870029795540943,False
7,N557,control1,0.6856449842453003,0.9109400447458029,0.9344285786151885,0.022840426489710818,0.5921110290847719,0.9426925643578331,0.9109400447458029,0.9109400447458029,0.4619964342800001,0.06872892787909722,1,2,0,0.0,0.2730560171377075,0,1,0,0.0,0.6856449842453003,0.23966531455516815,0.38594000309705734,0.36097973287105556,0.0023966531455516817,0.4034660756587982,0.022502494975924492,0.8041154146194458,1.2203329801559448,0.10765916481614113,0.10751918703317642,0.10779914259910583,0.022502494975924492,-0.3452448616921902,0.04434661194682121,0.12802369892597198,0.023537244647741318,30311.6484375,12886.974609375,17424.673828125,30250.43359375,12827.2578125,17423.17578125,0.0020195154938846827,0.004633888136595488,8.59727369970642e-05,0.20195154938846827,4.696829004213214,0.5468219625949859,4.500203147064894,0.6062342870235443,0.7504457041621209,0.7430304142832757,0.9426925643578331,15.334479873537076,15.334479873537076,greedy,0.9426925643578331,0.0,hard_fault_cluster,0.004054897067997508,False
8,N3756,control0,0.49988383054733276,1.0979412072431296,2.4125834882259367,0.1974851869698614,0.7136617847080343,1.1166986272666788,1.0979412072431296,1.0979412072431296,0.2905206045667944,0.0645648526427892,3,3,1,0.0,0.39979234268478564,2,2,1,0.0,0.49988383054733276,0.24372242391109467,1.0619511545635758,2.4570805430412292,0.0024372242391109467,0.4139433205127716,0.02365473099052906,0.7520684003829956,1.4714514017105103,0.07961614616215229,0.13527163863182068,0.023960653692483902,0.02365473099052906,0.21570032984018322,0.04269922524690628,0.13014672696590424,0.02226416766643524,30245.603515625,12826.541015625,17419.0625,30221.669921875,12799.166015625,17422.50390625,0.0007913081790320575,0.0021342465188354254,-0.0001975655322894454,0.07913081790320575,4.537299679592252,0.9399933916330337,4.336766813416034,0.956314257979393,1.0098785221576692,2.555791640430689,1.1166986272666788,16.451178500803753,16.451178500803753,greedy,1.1166986272666788,0.0,hard_fault_cluster,0.012067461471357947,False
9,N508,control1,0.43548765778541565,1.3122977246716618,1.0069064617156982,0.16719920787960293,0.8529935210365802,1.3348882303593246,1.3122977246716618,1.3122977246716618,0.3724544724312186,0.06065306597126335,3,2,1,0.0,0.5672229848412429,2,1,1,0.0,0.43548765778541565,0.23146332800388336,1.0512432854622602,0.8461384952068328,0.0023146332800388337,0.4174090325832367,0.024310583248734474,0.7574163675308228,1.6204496622085571,0.07784269377589226,0.04520658403635025,0.11047880351543427,0.024310583248734474,0.078968091905117,0.04077991843223572,0.12708526849746704,0.020798861980438232,30224.533203125,12795.224609375,17429.30859375,30171.015625,12771.52734375,17399.48828125,0.0017706668004393578,0.001852039829827845,0.0017109292093664408,0.17706668004393578,4.33376575447619,0.7572313451766968,4.141935321036726,0.7209732937812805,1.0937867149710654,0.9343232031166553,1.3348882303593246,17.78606673116308,17.78606673116308,greedy,1.3348882303593246,0.0,hard_fault_cluster,0.005559189012426428,False
10,N564,control1,0.4190385043621063,1.268916402757168,1.2729401230812072,0.10143611878156661,0.8247956617921592,1.2491475703331367,1.268916402757168,1.268916402757168,-0.34695381408463705,0.05697828247309231,3,2,1,0.0,0.5484596307801178,2,1,1,0.0,0.4190385043621063,0.20929060876369476,0.917901910841465,1.0830314755439758,0.0020929060876369475,0.42137908935546875,0.022586194798350334,0.7825082540512085,1.4152185916900635,0.053938571363687515,0.03958893567323685,0.06828820705413818,0.022586194798350334,-0.43694213896989825,0.03964956849813461,0.1253066211938858,0.020015109330415726,30163.65625,12770.73828125,17392.91796875,30078.953125,12731.5244140625,17347.4296875,0.0028081187047064304,0.0030706028919667006,0.0026153335347771645,0.28081187047064304,4.196833653375506,0.7868491011857986,4.022926050703973,0.7778355914354325,1.1438299417495728,1.261335588246584,1.2491475703331367,19.035214301496215,19.035214301496215,greedy,1.2491475703331367,0.0,hard_fault_cluster,0.015112037519541462,False
