step,node,type,q_pred,q_pred_mean,q_pred_std,q_pred_lcb,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,score_pred_mean,score_pred_std,score_pred_lcb,reward_pred,reward_pred_mean,reward_pred_std,reward_pred_lcb,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,return_pred_mean,return_pred_std,return_pred_lcb,typed_marginal_pred,typed_marginal_pred_mean,typed_marginal_pred_std,typed_marginal_pred_lcb,typed_return_pred,typed_return_pred_mean,typed_return_pred_std,typed_return_pred_lcb,typed_sa_reduction_total_pred,typed_sa_reduction_total_pred_mean,typed_sa_reduction_total_pred_std,typed_sa_reduction_total_pred_lcb,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_mean,guarded_reward_std,guarded_reward_lcb,guarded_reward_context,hard_reduction_total_pred,hard_reduction_total_pred_mean,hard_reduction_total_pred_std,hard_reduction_total_pred_lcb,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,derived_hard_reduction_hybrid_pred_mean,derived_hard_reduction_hybrid_pred_std,derived_hard_reduction_hybrid_pred_lcb,hybrid_pred,hybrid_pred_mean,hybrid_pred_std,hybrid_pred_lcb,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_mean,bounded_residual_hybrid_pred_std,bounded_residual_hybrid_pred_lcb,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,1.1168162822723389,0.0,1.1168162822723389,5.195585038363934,3.4872208595275875,4.868266358971596,4.9722098399847745,5.256083256359033,5.195585038363934,5.195585038363934,0.6049821799509953,0.1,3,2,1,0.0,1.0,2,1,1,0.0,1.1168162822723389,1.1168162822723389,0.0,1.1168162822723389,0.34677982330322266,0.34677982330322266,0.0,0.34677982330322266,4.894380512833595,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,0.03364104777574539,0.0,0.03364104777574539,1.1127177476882935,1.1127177476882935,0.07940888404846191,1.1127177476882935,1.8050227165222168,1.8050227165222168,0.5111859440803528,1.8050227165222168,-0.0641874223947525,-0.0641874223947525,0.03950490802526474,-0.0641874223947525,-0.07539448142051697,0.026029448956251144,0.03364104777574539,0.03364104777574539,0.0,0.03364104777574539,1.5340158987045287,0.06386370956897736,0.06386370956897736,0.0,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.340892791748047,-2.340892791748047,0.0,-2.340892791748047,6.766791820526123,6.766791820526123,0.0,6.766791820526123,3.494267354011536,6.481476306915283,6.481476306915283,0.0,6.481476306915283,3.265230522155762,4.528486633300781,3.278238040097057,5.256083256359033,5.256083256359033,5.256083256359033,greedy,5.256083256359033,0.0,hard_fault_cluster,,False
2,N2155,observe,1.457592248916626,1.457592248916626,0.0,1.457592248916626,4.636674811020494,3.0069554209709164,4.330468057841062,4.282239153210074,4.7306161173018415,4.636674811020494,4.636674811020494,1.0,0.09394130628134759,3,2,1,0.0,1.0,2,1,1,0.0,1.457592248916626,1.457592248916626,0.0,1.457592248916626,0.4267202615737915,0.4267202615737915,0.0,0.4267202615737915,4.572461410611867,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,0.025838786736130714,0.0,0.025838786736130714,1.2488819360733032,1.2488819360733032,0.19420719146728516,1.2488819360733032,1.8677644729614258,1.8677644729614258,0.5841396450996399,1.8677644729614258,-0.0034316163510084152,-0.0034316163510084152,0.04786154627799988,-0.0034316163510084152,0.08139079064130783,0.007469069212675095,0.025838786736130714,0.025838786736130714,0.0,0.025838786736130714,1.433363882899284,0.06906921416521072,0.06906921416521072,0.0,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979637384414673,-1.2979637384414673,0.0,-1.2979637384414673,7.359480381011963,7.359480381011963,0.0,7.359480381011963,4.625235252380371,7.020061016082764,7.020061016082764,0.0,7.020061016082764,4.483815031051636,4.0993773072958,3.2381428061425694,4.7306161173018415,9.986699373660874,9.986699373660874,greedy,4.7306161173018415,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.1366417407989502,0.0,1.1366417407989502,1.9932622301578524,1.980060064792633,1.881978142261505,2.0647577129006387,2.0470430603680234,1.9932622301578524,1.9932622301578524,0.609416645573047,0.08824969025845955,3,2,1,0.0,1.0,2,1,1,0.0,1.1366417407989502,1.1366417407989502,0.0,1.1366417407989502,0.37319517135620117,0.37319517135620117,0.0,0.37319517135620117,1.6609304875135422,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.01918899454176426,0.0,0.01918899454176426,1.0854732990264893,1.0854732990264893,0.10457700490951538,1.0854732990264893,1.719796895980835,1.719796895980835,0.46551913022994995,1.719796895980835,-0.04629874601960182,-0.04629874601960182,0.054218586534261703,-0.04629874601960182,0.0017244666814804077,0.014115210622549057,0.01918899454176426,0.01918899454176426,0.0,0.01918899454176426,-2.9935006600618363,0.05883442610502243,0.05883442610502243,0.0,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.038081955164670944,-0.038081955164670944,0.0,-0.038081955164670944,6.275826930999756,6.275826930999756,0.0,6.275826930999756,2.647661045789719,5.981538772583008,5.981538772583008,0.0,5.981538772583008,2.682521609067917,2.443326911330223,2.140263416171074,2.0470430603680234,12.033742434028898,12.033742434028898,greedy,2.0470430603680234,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,0.911552369594574,0.0,0.911552369594574,1.7198925173282624,1.5053794860839842,1.613517129421234,1.6676933866143226,1.7654988416703827,1.7198925173282624,1.7198925173282624,0.5501172798637001,0.08290291181804005,3,2,1,0.0,1.0,2,1,1,0.0,0.911552369594574,0.911552369594574,0.0,0.911552369594574,0.3220241069793701,0.3220241069793701,0.0,0.3220241069793701,1.5913340598344803,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.019666315987706184,0.0,0.019666315987706184,0.9903603196144104,0.9903603196144104,0.07127028703689575,0.9903603196144104,1.74879789352417,1.74879789352417,0.4749276041984558,1.74879789352417,-0.03973691165447235,-0.03973691165447235,0.04851740598678589,-0.03973691165447235,-0.0060859546065330505,0.023646939545869827,0.019666315987706184,0.019666315987706184,0.0,0.019666315987706184,-0.7614174979925157,0.05198005586862564,0.05198005586862564,0.0,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.2508966624736786,0.2508966624736786,0.0,0.2508966624736786,5.539696216583252,5.539696216583252,0.0,5.539696216583252,1.547010235786438,5.283428192138672,5.283428192138672,0.0,5.283428192138672,1.3737156081199646,1.7604912638664245,1.864059275984764,1.7654988416703827,13.79924127569928,13.79924127569928,greedy,1.7654988416703827,0.0,hard_fault_cluster,,False
5,N3756,control0,0.7222639322280884,0.7222639322280884,0.0,0.7222639322280884,1.1350157222524286,2.46194372177124,1.061920825764537,1.0687320803496987,1.1755588481232861,1.1350157222524286,1.262832924432221,0.5205840409015123,0.0778800783071405,2,3,0,0.0,0.6412053628876909,2,2,1,1.6412053628876908,0.7222639322280884,0.7222639322280884,0.0,0.7222639322280884,0.3096170425415039,0.3096170425415039,0.0,0.3096170425415039,1.0247292395681142,2.416571521759033,0.0030961704254150392,0.3825477063655853,0.021352248266339302,0.021352248266339302,0.0,0.021352248266339302,0.8587979078292847,0.8587979078292847,0.07197800278663635,0.8587979078292847,1.8191421031951904,1.8191421031951904,0.4908899664878845,1.8191421031951904,-0.0070897117257118225,-0.0070897117257118225,0.059302739799022675,-0.0070897117257118225,0.12761682271957397,-0.02319077029824257,0.021352248266339302,0.021352248266339302,0.0,0.021352248266339302,0.047123746573924985,0.049444861710071564,0.049444861710071564,0.0,0.049444861710071564,0.13231855630874634,0.027719702571630478,30589.94140625,13108.470703125,17481.470703125,30546.474609375,13047.279296875,17499.1953125,0.0014209506334736943,0.004668081179261208,-0.0010139084188267589,0.14209505915641785,0.14209505915641785,0.0,0.14209505915641785,5.275455474853516,5.275455474853516,0.0,5.275455474853516,1.521742779314518,5.027228355407715,5.027228355407715,0.0,5.027228355407715,1.5250232282280922,1.0813894048333168,2.598281169310212,1.1755588481232861,14.974800123822567,14.974800123822567,greedy,1.1755588481232861,0.0,hard_fault_cluster,,False
6,N3644,control0,0.7473798990249634,0.7473798990249634,0.0,0.7473798990249634,1.3282984177768231,2.7423802137374875,1.2503794804215431,1.3345840784236789,1.3096385386831244,1.3282984177768231,1.3282984177768231,-0.25505030722983024,0.07316156289466418,3,3,1,0.0,-0.9206393948960248,2,2,1,0.0,0.7473798990249634,0.7473798990249634,0.0,0.7473798990249634,0.30260205268859863,0.30260205268859863,0.0,0.30260205268859863,0.9084998458623885,2.3785500824451447,0.003026020526885986,0.3963528275489807,0.020910533145070076,0.020910533145070076,0.0,0.020910533145070076,0.7421917915344238,0.7421917915344238,0.0007463395595550537,0.7421917915344238,1.738002061843872,1.738002061843872,0.47600889205932617,1.738002061843872,0.014344748109579086,0.014344748109579086,0.054138701409101486,0.014344748109579086,0.13297486305236816,0.0039920322597026825,0.020910533145070076,0.020910533145070076,0.0,0.020910533145070076,-0.7125822922587395,0.046566374599933624,0.046566374599933624,0.0,0.046566374599933624,0.1306353211402893,0.02538181096315384,30546.369140625,13047.166015625,17499.203125,30307.25,12886.3046875,17420.9453125,0.007828070782124996,0.012329216115176678,0.0044720787554979324,0.7828070521354675,0.7828070521354675,0.0,0.7828070521354675,4.98015022277832,4.98015022277832,0.0,4.98015022277832,0.7510712909698487,4.737515449523926,4.737515449523926,0.0,4.737515449523926,0.7258688259124756,1.2300305753946303,2.6229314653575417,1.3096385386831244,16.284438662505693,16.284438662505693,greedy,1.3096385386831244,0.0,hard_fault_cluster,,False
7,N557,control1,0.68563312292099,0.68563312292099,0.0,0.68563312292099,0.905235101543367,1.8884652554988859,0.8536859113723041,0.926596825664863,0.9027760840992992,0.905235101543367,0.905235101543367,-0.03577849269514948,0.06872892787909722,3,2,1,0.0,-0.3035735849811064,2,1,1,0.0,0.68563312292099,0.68563312292099,0.0,0.68563312292099,0.23965980112552643,0.23965980112552643,0.0,0.23965980112552643,0.3736007225513458,1.3321642026305198,0.0023965980112552643,0.40346747636795044,0.02250211499631405,0.02250211499631405,0.0,0.02250211499631405,0.8408076763153076,0.8408076763153076,0.036696404218673706,0.8408076763153076,1.6617100238800049,1.6617100238800049,0.44138479232788086,1.6617100238800049,0.04508203640580177,0.04508203640580177,0.06257763504981995,0.04508203640580177,0.10751981288194656,0.10779951512813568,0.02250211499631405,0.02250211499631405,0.0,0.02250211499631405,-0.34488282971084117,0.0443466380238533,0.0443466380238533,0.0,0.0443466380238533,0.12802337110042572,0.023537203669548035,30311.650390625,12886.970703125,17424.6796875,30250.439453125,12827.25390625,17423.185546875,0.0020193865057080984,0.0046338895335793495,8.574852836318314e-05,0.20193864405155182,0.20193864405155182,0.0,0.20193864405155182,4.6968255043029785,4.6968255043029785,0.0,4.6968255043029785,0.5527827197313309,4.500204086303711,4.500204086303711,0.0,4.500204086303711,0.607443859577179,0.7552924446761609,1.7150032163783906,0.9027760840992992,17.18721474660499,17.18721474660499,greedy,0.9027760840992992,0.0,hard_fault_cluster,,False
8,N5143,observe,0.38603755831718445,0.38603755831718445,0.0,0.38603755831718445,1.0331731647253037,1.1689569830894468,0.9309499889612198,0.8721716628968716,1.0828197372295059,1.0331731647253037,1.0331731647253037,0.7689411571784444,0.0645648526427892,3,2,1,0.0,1.0,2,1,1,0.0,0.38603755831718445,0.38603755831718445,0.0,0.38603755831718445,0.2283715158700943,0.2283715158700943,0.0,0.2283715158700943,1.119180934727192,1.7790655851364134,0.002283715158700943,0.4162377417087555,0.026413993909955025,0.026413993909955025,0.0,0.026413993909955025,0.9630783200263977,0.9630783200263977,0.18452614545822144,0.9630783200263977,1.9345859289169312,1.9345859289169312,0.535359263420105,1.9345859289169312,0.031084075570106506,0.031084075570106506,0.06846795231103897,0.031084075570106506,0.1375426948070526,0.061561357229948044,0.026413993909955025,0.026413993909955025,0.0,0.026413993909955025,1.603841781914234,0.04229021817445755,0.04229021817445755,0.0,0.04229021817445755,0.12924142181873322,0.021821647882461548,30244.71484375,12825.67578125,17419.0390625,30301.10546875,12842.3359375,17458.76953125,-0.0018644786905497313,-0.0012989690294489264,-0.00228086463175714,-0.186447873711586,-0.186447873711586,0.0,-0.186447873711586,4.483807563781738,4.483807563781738,0.0,4.483807563781738,0.9720365107059479,4.292718410491943,4.292718410491943,0.0,4.292718410491943,0.9867275655269623,0.7656235575675965,1.6772898434102534,1.0828197372295059,18.270034483834497,18.270034483834497,greedy,1.0828197372295059,0.0,hard_fault_cluster,,False
9,N507,control1,0.3719978630542755,0.3719978630542755,0.0,0.3719978630542755,1.0697660818696022,1.5579685866832733,1.0034601807594299,1.0357491228729487,1.089798601735919,1.0697660818696022,1.0697660818696022,0.33028041609319314,0.06065306597126335,3,2,1,0.0,0.5361912985535113,2,1,1,0.0,0.3719978630542755,0.3719978630542755,0.0,0.3719978630542755,0.2226191908121109,0.2226191908121109,0.0,0.2226191908121109,0.8636301517486572,1.0604464650154113,0.002226191908121109,0.4176916480064392,0.02488635666668415,0.02488635666668415,0.0,0.02488635666668415,0.8327068090438843,0.8327068090438843,0.07227921485900879,0.8327068090438843,2.0774455070495605,2.0774455070495605,0.475136399269104,2.0774455070495605,0.010383225977420807,0.010383225977420807,0.06712602823972702,0.010383225977420807,0.04865626245737076,0.1063622534275055,0.02488635666668415,0.02488635666668415,0.0,0.02488635666668415,-0.12726819038391118,0.04077808931469917,0.04077808931469917,0.0,0.04077808931469917,0.12578241527080536,0.02044009044766426,30305.1640625,12839.4873046875,17465.67578125,30211.44140625,12790.1455078125,17421.296875,0.003092629835009575,0.0038429724518209696,0.002540921326726675,0.3092629909515381,0.3092629909515381,0.0,0.3092629909515381,4.325314521789551,4.325314521789551,0.0,4.325314521789551,0.67086729824543,4.139685153961182,4.139685153961182,0.0,4.139685153961182,0.654753605723381,0.9453559771180152,1.3529238589853048,1.089798601735919,19.359833085570415,19.359833085570415,greedy,1.089798601735919,0.0,hard_fault_cluster,,False
10,N3742,control0,0.2627548575401306,0.2627548575401306,0.0,0.2627548575401306,1.1557924635708332,2.5186593055725095,1.0833867534995079,1.1105947541072965,1.1673955998659282,1.1557924635708332,1.1557924635708332,0.20364138390051573,0.05697828247309231,3,3,1,0.0,0.306938562125975,2,2,1,0.0,0.2627548575401306,0.2627548575401306,0.0,0.2627548575401306,0.21972011029720306,0.21972011029720306,0.0,0.21972011029720306,1.0311062172055243,2.4647654235363006,0.002197201102972031,0.4235575497150421,0.02454344369471073,0.02454344369471073,0.0,0.02454344369471073,0.7968876361846924,0.7968876361846924,0.06368032097816467,0.7968876361846924,2.069727659225464,2.069727659225464,0.49722766876220703,2.069727659225464,0.020627660676836967,0.020627660676836967,0.06454203277826309,0.020627660676836967,0.1294384002685547,0.04090098664164543,0.02454344369471073,0.02454344369471073,0.0,0.02454344369471073,-0.26351527869701385,0.040670283138751984,0.040670283138751984,0.0,0.040670283138751984,0.12884944677352905,0.020379342138767242,30207.65625,12793.62109375,17414.03515625,30180.51953125,12760.9091796875,17419.609375,0.0008983390871435404,0.002556892577558756,-0.00032009920687414706,0.08983390778303146,0.08983390778303146,0.0,0.08983390778303146,4.311291694641113,4.311291694641113,0.0,4.311291694641113,1.054209162592888,4.12809419631958,4.12809419631958,0.0,4.12809419631958,1.0517866986989977,1.1213539496064187,2.713669955804944,1.1673955998659282,20.52722868543634,20.52722868543634,greedy,1.1673955998659282,0.0,hard_fault_cluster,,False
