step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,5.195585038363934,3.4872208595275875,0.6961511906981468,3.377130274936557,5.359932382694885,5.195585038363934,5.195585038363934,0.4108683608273785,0.4,3,2,1,0.0,0.9110751813526848,2,1,1,0.0,1.1168162822723389,0.34677982330322266,4.894380512833595,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,1.2711191177368164,2.481640100479126,-0.10865188017487526,-0.18132495880126953,-0.03597880154848099,0.03364104777574539,1.5340158987045287,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766791827976704,3.494267354011536,6.481476174667478,3.265230522155762,4.528486633300781,3.278238040097057,5.195585038363934,5.195585038363934,5.195585038363934,greedy,5.195585038363934,0.0,hard_fault_cluster,,False
2,N2155,observe,1.457592248916626,4.636674811020494,3.0069554209709164,0.8750467462092637,3.013838627163321,5.012440036145884,4.636674811020494,4.636674811020494,1.0,0.37576522512539035,3,2,1,0.0,1.0,2,1,1,0.0,1.457592248916626,0.4267202615737915,4.572461410611867,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,1.5384150743484497,2.6474101543426514,-0.0559176467359066,-0.04296308010816574,-0.06887221336364746,0.025838786736130714,1.433363882899284,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979636900126934,7.359480464830995,4.625235252380371,7.020061178598553,4.483815031051636,4.0993773072958,3.2381428061425694,4.636674811020494,9.832259849384428,9.832259849384428,greedy,4.636674811020494,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.9932622301578524,1.980060064792633,0.009851351976394723,1.295620449602604,2.1818084997237897,1.9932622301578524,1.9932622301578524,0.5341272842254066,0.3529987610338382,3,2,1,0.0,1.0,2,1,1,0.0,1.1366417407989502,0.37319517135620117,1.6609304875135422,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,1.2411062717437744,2.3251872062683105,-0.10318968072533607,-0.12614411115646362,-0.08023525029420853,0.01918899454176426,-2.9935006600618363,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.2758267764002085,2.647661045789719,5.981538651976734,2.682521609067917,2.443326911330223,2.140263416171074,1.9932622301578524,11.825522079542282,11.825522079542282,greedy,1.9932622301578524,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,1.7198925173282624,1.5053794860839842,0.19486446499824525,1.1179301362633707,1.8892424929843712,1.7198925173282624,1.7198925173282624,0.5106876584377628,0.3316116472721602,3,2,1,0.0,0.840735652786698,2,1,1,0.0,0.911552369594574,0.3220241069793701,1.5913340598344803,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,1.1260697841644287,2.3736472129821777,-0.09215414151549339,-0.1208413764834404,-0.06346690654754639,0.019666315987706184,-0.7614174979925157,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.25089667178690434,5.53969600982964,1.547010235786438,5.283428192604333,1.3737156081199646,1.7604912638664245,1.864059275984764,1.7198925173282624,13.545414596870543,13.545414596870543,greedy,1.7198925173282624,0.0,hard_fault_cluster,,False
5,N3756,control0,0.7222639322280884,1.1350157222524286,2.46194372177124,0.18069241452962165,0.7377602194640787,1.180527752397053,1.1350157222524286,1.5081618814392943,0.1460965086768907,0.311520313228562,2,3,0,0.0,0.19782288133836365,2,2,1,1.1978228813383636,0.7222639322280884,0.3096170425415039,1.0247292395681142,2.416571521759033,0.0030961704254150392,0.3825477063655853,0.021352248266339302,0.9908673763275146,2.4358272552490234,-0.07283471152186394,-0.018620245158672333,-0.12704917788505554,0.021352248266339302,0.047123746573924985,0.049444861710071564,0.13231855630874634,0.027719702571630478,30589.94140625,13108.470703125,17481.470703125,30546.474609375,13047.279296875,17499.1953125,0.0014209506334736943,0.004668081179261208,-0.0010139084188267589,0.14209506334736943,5.275455461815,1.521742779314518,5.027228493709117,1.5250232282280922,1.0813894048333168,2.598281169310212,1.5081618814392943,15.053576478309838,15.053576478309838,greedy,1.5081618814392943,0.0,hard_fault_cluster,,False
6,N3742,control0,0.5988399982452393,1.144928008345887,2.4670221507549286,0.1828451546933502,0.7442032054248267,1.1762656076040237,1.144928008345887,1.409359162002735,0.10708354912830258,0.2926462515786567,2,3,0,0.0,0.20715432763077096,2,2,1,0.9035863341163446,0.5988399982452393,0.3021653890609741,0.9846298926509915,2.374633979797363,0.0030216538906097413,0.39794254302978516,0.023082302883267403,0.9791105389595032,2.5336685180664062,-0.0635579340159893,-0.016821853816509247,-0.11029401421546936,0.023082302883267403,0.2035970170795917,0.047641173005104065,0.1337466835975647,0.026349615305662155,30546.498046875,13047.302734375,17499.1953125,30456.486328125,12963.900390625,17492.5859375,0.0029467116110026836,0.006392305251210928,0.00037769594928249717,0.29467116110026836,5.089364992454648,1.02930617518723,4.845429223496467,1.057401617243886,1.0172800064086913,2.5495708106458186,1.409359162002735,16.462935640312573,16.462935640312573,greedy,1.409359162002735,0.0,hard_fault_cluster,,False
7,N5143,observe,0.31570836901664734,0.7899814906716347,0.9804858982563018,0.24847712606191635,0.5134879689365626,1.0217560405019237,1.0517212787350843,1.2527085698490987,0.8430749503251723,0.2749157115163889,2,2,1,0.9520728612407667,1.0,2,1,1,1.683159818786417,0.31570836901664734,0.26863324642181396,0.787010937705636,1.3380328476428984,0.0026863324642181397,0.41220253705978394,0.027120867744088173,1.272269606590271,2.671351671218872,-0.048269063234329224,-0.07383988052606583,-0.02269824594259262,0.027120867744088173,1.1055683211237193,0.04490014910697937,0.13377423584461212,0.024043366312980652,30455.57421875,12963.0419921875,17492.53125,30460.828125,12937.33984375,17523.48828125,-0.00017251049575861543,0.00198272499255836,-0.0017697284929454327,-0.017251049575861543,4.785769024863839,0.7282020888477564,4.5639534392394125,0.7309575519710779,0.5842197626829148,1.3447483447194097,1.2527085698490987,17.71564421016167,17.71564421016167,greedy,1.2527085698490987,0.0,hard_fault_cluster,,False
8,N3644,control0,0.5634762048721313,1.7909800501167776,3.033018624782562,0.13088115707039835,1.1641370325759055,1.7346120754393062,1.7909800501167776,1.7909800501167776,-0.21826106763277348,0.2582594105711568,3,3,1,0.0,-0.826922623733887,2,2,1,0.0,0.5634762048721313,0.27475088834762573,1.140155880153179,2.4554920971393583,0.0027475088834762575,0.416436105966568,0.02414511702954769,0.7903845310211182,2.5057568550109863,-0.030124276876449585,0.0033762454986572266,-0.0636247992515564,0.02414511702954769,-0.4267821180820465,0.04401722922921181,0.13402172923088074,0.023576918989419937,30461.59375,12938.0771484375,17523.517578125,30183.400390625,12779.103515625,17404.296875,0.009132593870162964,0.012287269346415997,0.006803468801081181,0.9132593870162964,4.700618928298354,0.9615059143304825,4.476446924265474,0.9396155482530595,1.5096668511629106,2.8360499780252577,1.7909800501167776,19.50662426027845,19.50662426027845,greedy,1.7909800501167776,0.0,hard_fault_cluster,,False
9,N3722,control0,0.3354516923427582,0.956152850985527,2.280989521741867,0.21492402374744415,0.6214993531405926,0.9594219515907986,0.956152850985527,1.1655382314520775,0.013474589259924364,0.2426122638850534,2,3,0,0.0,0.1421943631088825,2,2,1,0.8630453263721021,0.3354516923427582,0.2640131115913391,1.0994166448712348,2.50835599899292,0.0026401311159133913,0.42560654878616333,0.025774260982871056,0.9644365906715393,2.7445566654205322,-0.047858450561761856,-0.02418714016675949,-0.07152976095676422,0.025774260982871056,0.2846662953495979,0.04302418977022171,0.13616514205932617,0.022741030901670456,30183.55078125,12779.26953125,17404.28125,30188.353515625,12758.490234375,17429.86328125,-0.00015911761147435755,0.0016260159900411963,-0.001469869981519878,-0.015911761147435755,4.592206349596381,1.1655136236548422,4.374865820165724,1.0443452069163321,0.9464230060577392,2.466582537926733,1.1655382314520775,20.67216249173053,20.67216249173053,greedy,1.1655382314520775,0.0,hard_fault_cluster,,False
10,N508,control1,0.375495046377182,1.3387380047142505,1.1476715624332428,0.12406529679894449,0.8701797030642628,1.3495040078291924,1.3387380047142505,1.3387380047142505,0.04723730975931982,0.22791312989236923,3,2,1,0.0,0.32533506946443036,2,1,1,0.0,0.375495046377182,0.25131726264953613,1.0174631044268607,0.8499683201313019,0.0025131726264953614,0.42675209045410156,0.025803828611969948,0.9657806754112244,2.823079824447632,-0.051892660558223724,-0.08080817013978958,-0.022977150976657867,0.025803828611969948,-0.3086037874221802,0.042057957500219345,0.13321803510189056,0.0221870094537735,30191.78125,12754.79296875,17436.98828125,30121.55859375,12727.7158203125,17393.841796875,0.002325886394828558,0.0021228999830782413,0.0024744230322539806,0.2325886394828558,4.482916841283441,0.7998069673776627,4.275076022837311,0.7535324245691299,1.1587133809924124,1.0074367502331731,1.3387380047142505,22.01090049644478,22.01090049644478,greedy,1.3387380047142505,0.0,hard_fault_cluster,,False
