node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_not_19853,1,0,1,0,0
__aig_not_19855,1,0,1,0,0
__aig_not_19857,1,0,1,0,0
__aig_not_19859,1,0,1,0,0
__aig_not_19861,1,0,1,0,0
__aig_not_19863,1,0,1,0,0
__aig_not_19865,1,0,1,0,0
__aig_not_19867,1,0,1,0,0
__aig_not_19869,1,0,1,0,0
__aig_not_19871,1,0,1,0,0
__aig_not_19873,1,0,1,0,0
__aig_not_19875,1,0,1,0,0
__aig_not_19877,1,0,1,0,0
__aig_not_19879,1,0,1,0,0
__aig_not_19881,1,0,1,0,0
__aig_not_19883,1,0,1,0,0
__aig_not_19885,1,0,1,0,0
__aig_not_19887,1,0,1,0,0
__aig_not_19889,1,0,1,0,0
__aig_not_19891,1,0,1,0,0
__aig_not_19893,1,0,1,0,0
__aig_not_19895,1,0,1,0,0
__aig_not_19897,1,0,1,0,0
__aig_not_19899,1,0,1,0,0
__aig_not_19901,1,0,1,0,0
__buf_split_10545,1,0,1,0,0
__buf_split_10546,1,0,1,0,0
__buf_split_10547,1,0,1,0,0
__buf_split_10548,1,0,1,0,0
__buf_split_10549,1,0,1,0,0
__buf_split_10550,1,0,1,0,0
__buf_split_10551,1,0,1,0,0
__buf_split_10552,1,0,1,0,0
__buf_split_10553,1,0,1,0,0
__buf_split_10554,1,0,1,0,0
__buf_split_10555,1,0,1,0,0
__buf_split_10556,1,0,1,0,0
__buf_split_10557,1,0,1,0,0
__buf_split_10558,1,0,1,0,0
__buf_split_10559,1,0,1,0,0
__buf_split_10560,1,0,1,0,0
__buf_split_10561,1,0,1,0,0
__buf_split_10562,1,0,1,0,0
__buf_split_10563,1,0,1,0,0
__buf_split_10564,1,0,1,0,0
__buf_split_10565,1,0,1,0,0
__buf_split_10566,1,0,1,0,0
__buf_split_10567,1,0,1,0,0
__buf_split_10570,1,0,1,0,0
