step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,typed_residual_correction,typed_residual_effective_alpha,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,5.195585038363934,3.4872208595275875,0.6961511906981468,3.377130274936557,5.211044549303078,0.15459510939143856,0.1,1.1168162822723389,0.34677982330322266,4.894380512833595,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,0.8891344666481018,0.6291457414627075,-0.0925054270774126,-0.17540115118026733,-0.009609702974557877,0.03364104777574539,1.5340158987045287,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766791827976704,3.494267354011536,6.481476174667478,3.265230522155762,4.528486633300781,3.278238040097057,5.211044549303078,5.211044549303078,5.211044549303078,greedy,5.211044549303078,0.0,hard_fault_cluster,,False
2,N2155,observe,1.457592248916626,4.636674811020494,3.0069554209709164,0.8750467462092637,3.013838627163321,4.736674811020493,1.0,0.1,1.457592248916626,0.4267202615737915,4.572461410611867,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,0.8983544111251831,0.5374069213867188,-0.027434587478637695,-0.021135754883289337,-0.03373342007398605,0.025838786736130714,1.433363882899284,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979636900126934,7.359480464830995,4.625235252380371,7.020061178598553,4.483815031051636,4.0993773072958,3.2381428061425694,4.736674811020493,9.947719360323571,9.947719360323571,greedy,4.736674811020493,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.9932622301578524,1.980060064792633,0.009851351976394723,1.295620449602604,2.0702401826009744,0.7697795244312179,0.1,1.1366417407989502,0.37319517135620117,1.6609304875135422,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.9339802861213684,0.5743845701217651,-0.07361914776265621,-0.10464209318161011,-0.042596202343702316,0.01918899454176426,-2.9935006600618363,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.2758267764002085,2.647661045789719,5.981538651976734,2.682521609067917,2.443326911330223,2.140263416171074,2.0702401826009744,12.017959542924546,12.017959542924546,greedy,2.0702401826009744,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,1.7198925173282624,1.5053794860839842,0.19486446499824525,1.1179301362633707,1.7777092220596444,0.5781670473138205,0.1,0.911552369594574,0.3220241069793701,1.5913340598344803,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.8645064234733582,0.5762865543365479,-0.07464861311018467,-0.11497967690229416,-0.03431754931807518,0.019666315987706184,-0.7614174979925157,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.25089667178690434,5.53969600982964,1.547010235786438,5.283428192604333,1.3737156081199646,1.7604912638664245,1.864059275984764,1.7777092220596444,13.79566876498419,13.79566876498419,greedy,1.7777092220596444,0.0,hard_fault_cluster,,False
5,N3756,control0,0.7222639322280884,1.1350157222524286,2.46194372177124,0.18069241452962165,0.7377602194640787,1.1922938877641187,0.5727816551169014,0.1,0.7222639322280884,0.3096170425415039,1.0247292395681142,2.416571521759033,0.0030961704254150392,0.3825477063655853,0.021352248266339302,0.73707115650177,0.5531479120254517,-0.03193269670009613,0.005429327487945557,-0.06929472088813782,0.021352248266339302,0.047123746573924985,0.049444861710071564,0.13231855630874634,0.027719702571630478,30589.94140625,13108.470703125,17481.470703125,30546.474609375,13047.279296875,17499.1953125,0.0014209506334736943,0.004668081179261208,-0.0010139084188267589,0.14209506334736943,5.275455461815,1.521742779314518,5.027228493709117,1.5250232282280922,1.0813894048333168,2.598281169310212,1.1922938877641187,14.98796265274831,14.98796265274831,greedy,1.1922938877641187,0.0,hard_fault_cluster,,False
6,N3644,control0,0.7473798990249634,1.3282984177768231,2.7423802137374875,0.07424245461821556,0.863393971554935,1.3389664670519854,0.10668049275162392,0.1,0.7473798990249634,0.30260205268859863,0.9084998458623885,2.3785500824451447,0.003026020526885986,0.3963528275489807,0.020910533145070076,0.7001416087150574,0.48569995164871216,-0.017802463844418526,0.011826366186141968,-0.04743129387497902,0.020910533145070076,-0.7125822922587395,0.046566374599933624,0.1306353211402893,0.02538181096315384,30546.369140625,13047.166015625,17499.203125,30307.25,12886.3046875,17420.9453125,0.007828070782124996,0.012329216115176678,0.0044720787554979324,0.7828070782124996,4.980150045827031,0.7510712909698487,4.73751560645178,0.7258688259124756,1.2300305753946303,2.6229314653575417,1.3389664670519854,16.326929119800294,16.326929119800294,greedy,1.3389664670519854,0.0,hard_fault_cluster,,False
7,N557,control1,0.68563312292099,0.905235101543367,1.8884652554988859,0.022650321535766137,0.5884028160031886,0.9954110959114093,0.9017599436804241,0.1,0.68563312292099,0.23965980112552643,0.3736007225513458,1.3321642026305198,0.0023965980112552643,0.40346747636795044,0.02250211499631405,0.7998391389846802,0.5589388608932495,0.025548195466399193,-0.0017064660787582397,0.052802857011556625,0.02250211499631405,-0.34488282971084117,0.0443466380238533,0.12802337110042572,0.023537203669548035,30311.650390625,12886.970703125,17424.6796875,30250.439453125,12827.25390625,17423.185546875,0.0020193865057080984,0.0046338895335793495,8.574852836318314e-05,0.20193865057080984,4.696825718507171,0.5527827197313309,4.50020428141579,0.607443859577179,0.7552924446761609,1.7150032163783906,0.9954110959114093,17.322340215711705,17.322340215711705,greedy,0.9954110959114093,0.0,hard_fault_cluster,,False
8,N5143,observe,0.38603755831718445,1.0331731647253037,1.1689569830894468,0.3577811151742935,0.6715625570714474,1.062768809889975,0.29595645164671314,0.1,0.38603755831718445,0.2283715158700943,1.119180934727192,1.7790655851364134,0.002283715158700943,0.4162377417087555,0.026413993909955025,0.6676803827285767,0.6070247292518616,0.016623923555016518,0.026190973818302155,0.007056873291730881,0.026413993909955025,1.603841781914234,0.04229021817445755,0.12924142181873322,0.021821647882461548,30244.71484375,12825.67578125,17419.0390625,30301.10546875,12842.3359375,17458.76953125,-0.0018644786905497313,-0.0012989690294489264,-0.00228086463175714,-0.18644786905497313,4.483807327225804,0.9720365107059479,4.292718194890767,0.9867275655269623,0.7656235575675965,1.6772898434102534,1.062768809889975,18.38510902560168,18.38510902560168,greedy,1.062768809889975,0.0,hard_fault_cluster,,False
9,N507,control1,0.3719978630542755,1.0697660818696022,1.5579685866832733,0.12374013811349868,0.6953479532152415,1.1583283181860498,0.8856223631644762,0.1,0.3719978630542755,0.2226191908121109,0.8636301517486572,1.0604464650154113,0.002226191908121109,0.4176916480064392,0.02488635666668415,0.7415191531181335,0.855252742767334,-0.013608111068606377,-0.07267635315656662,0.04546013101935387,0.02488635666668415,-0.12726819038391118,0.04077808931469917,0.12578241527080536,0.02044009044766426,30305.1640625,12839.4873046875,17465.67578125,30211.44140625,12790.1455078125,17421.296875,0.003092629835009575,0.0038429724518209696,0.002540921326726675,0.3092629835009575,4.325314478948712,0.67086729824543,4.139685318339616,0.654753605723381,0.9453559771180152,1.3529238589853048,1.1583283181860498,19.54343734378773,19.54343734378773,greedy,1.1583283181860498,0.0,hard_fault_cluster,,False
10,N3742,control0,0.2627548575401306,1.1557924635708332,2.5186593055725095,0.14751031771302225,0.7512651013210416,1.1568931262433508,0.011006626725177191,0.1,0.2627548575401306,0.21972011029720306,1.0311062172055243,2.4647654235363006,0.002197201102972031,0.4235575497150421,0.02454344369471073,0.6945088505744934,0.7812031507492065,-0.003031836822628975,0.0051223114132881165,-0.011185985058546066,0.02454344369471073,-0.26351527869701385,0.040670283138751984,0.12884944677352905,0.020379342138767242,30207.65625,12793.62109375,17414.03515625,30180.51953125,12760.9091796875,17419.609375,0.0008983390871435404,0.002556892577558756,-0.00032009920687414706,0.08983390871435404,4.311291867867112,1.054209162592888,4.128094202373177,1.0517866986989977,1.1213539496064187,2.713669955804944,1.1568931262433508,20.70033047003108,20.70033047003108,greedy,1.1568931262433508,0.0,hard_fault_cluster,,False
