node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_341___buf_split_603,2,0,1,0,1
2418,1,0,0,0,1
2421,1,0,0,0,1
2426,1,0,0,0,1
2431,1,0,0,0,1
__aig_and_704,1,0,0,0,1
__aig_and_711,1,0,0,0,1
__aig_and_727,1,0,0,0,1
__aig_and_730,1,0,0,0,1
__aig_and_813,1,0,0,0,1
__buf_split_1057,1,0,1,0,0
__buf_split_1060,1,0,1,0,0
__buf_split_1075,1,0,1,0,0
__buf_split_1087,1,0,1,0,0
__buf_split_1090,1,0,1,0,0
__buf_split_1102,1,0,1,0,0
__buf_split_1117,1,0,1,0,0
__buf_split_1132,1,0,1,0,0
__buf_split_1179,1,0,1,0,0
__buf_split_1201,1,0,1,0,0
__buf_split_1204,1,0,1,0,0
__buf_split_1512,1,0,1,0,0
__buf_split_1726,1,0,1,0,0
__buf_split_1727,1,0,1,0,0
__buf_split_597,1,0,1,0,0
__buf_split_603,1,0,1,0,0
__buf_split_609,1,0,1,0,0
__buf_split_615,1,0,1,0,0
__tpi_cp_100_n_2427,1,0,0,1,0
__tpi_cp_101___aig_and_722,1,0,0,1,0
__tpi_cp_102___aig_and_250,1,0,0,1,0
__tpi_cp_103___aig_and_1297,1,0,0,1,0
__tpi_cp_104_n_2670,1,0,0,0,1
__tpi_cp_105_n_5349,1,0,0,0,1
__tpi_cp_106_n_5348,1,0,0,0,1
__tpi_cp_107_n_5193,1,0,0,0,1
__tpi_cp_108_n_5295,1,0,0,0,1
__tpi_cp_109_n_2431,1,0,0,1,0
__tpi_cp_10_n_3653,1,0,0,0,1
__tpi_cp_110_n_5136,1,0,0,1,0
__tpi_cp_111___aig_and_1286,1,0,0,1,0
__tpi_cp_112_n_5324,1,0,0,0,1
__tpi_cp_113___aig_and_834,1,0,0,0,1
__tpi_cp_115_n_3932,1,0,0,1,0
__tpi_cp_116___aig_not_125,1,0,0,0,1
__tpi_cp_118___aig_not_307,1,0,0,0,1
__tpi_cp_11_n_3671,1,0,0,1,0
__tpi_cp_120___aig_not_763,1,0,0,0,1
__tpi_cp_121___aig_not_1321,1,0,0,0,1
__tpi_cp_122_n_3734,1,0,0,0,1
__tpi_cp_123_n_794,1,0,0,0,1
__tpi_cp_125___aig_not_343,1,0,0,0,1
__tpi_cp_126_n_3676,1,0,0,0,1
__tpi_cp_127_n_3740,1,0,0,0,1
__tpi_cp_128___buf_split_1401,1,0,0,0,1
__tpi_cp_12___aig_and_687,1,0,0,0,1
__tpi_cp_130___aig_not_768,1,0,0,0,1
__tpi_cp_131_n_2083,1,0,0,1,0
__tpi_cp_132_n_2068,1,0,0,1,0
__tpi_cp_135___aig_and_824,1,0,0,0,1
__tpi_cp_136_n_848,1,0,0,0,1
__tpi_cp_137_n_5327,1,0,0,0,1
__tpi_cp_138___aig_and_849,1,0,0,0,1
__tpi_cp_13___aig_not_948,1,0,0,0,1
__tpi_cp_140___buf_split_187,1,0,0,1,0
__tpi_cp_144_n_825,1,0,0,0,1
__tpi_cp_145___aig_not_826,1,0,0,0,1
__tpi_cp_148_n_3762,1,0,0,1,0
__tpi_cp_149___aig_and_418,1,0,0,1,0
__tpi_cp_14_n_3672,1,0,0,0,1
__tpi_cp_150_n_3463,1,0,0,1,0
__tpi_cp_151___buf_split_416,1,0,0,1,0
__tpi_cp_152_n_3466,1,0,0,1,0
__tpi_cp_153_n_3431,1,0,0,1,0
__tpi_cp_154___aig_and_245,1,0,0,0,1
__tpi_cp_155___aig_and_352,1,0,0,1,0
__tpi_cp_156___buf_split_1181,1,0,0,0,1
__tpi_cp_157___buf_split_189,1,0,0,0,1
__tpi_cp_158_n_3407,1,0,0,1,0
__tpi_cp_159_n_3410,1,0,0,1,0
__tpi_cp_15_n_3664,1,0,0,1,0
__tpi_cp_161_n_3437,1,0,0,1,0
__tpi_cp_162___aig_not_281,1,0,0,0,1
__tpi_cp_163___aig_not_302,1,0,0,0,1
__tpi_cp_164___aig_not_334,1,0,0,0,1
__tpi_cp_165___aig_not_690,1,0,0,0,1
__tpi_cp_166_n_1674,1,0,0,1,0
__tpi_cp_167___buf_split_671,1,0,0,1,0
__tpi_cp_168_n_3643,1,0,0,1,0
__tpi_cp_16_n_3134,1,0,0,0,1
__tpi_cp_170_n_3670,1,0,0,1,0
__tpi_cp_171_n_3118,1,0,0,1,0
__tpi_cp_172_n_3430,1,0,0,1,0
__tpi_cp_173___buf_split_1076,1,0,0,1,0
__tpi_cp_175___aig_and_240,1,0,0,1,0
__tpi_cp_176___aig_and_235,1,0,0,1,0
__tpi_cp_177_n_3662,1,0,0,1,0
__tpi_cp_178___buf_split_1058,1,0,0,1,0
__tpi_cp_179_n_3469,1,0,0,1,0
__tpi_cp_17_n_3667,1,0,0,1,0
__tpi_cp_180_n_5212,1,0,0,0,1
__tpi_cp_181___buf_split_1100,1,0,0,1,0
__tpi_cp_182_n_3141,1,0,0,1,0
__tpi_cp_183___buf_split_1177,1,0,0,1,0
__tpi_cp_184___aig_not_164,1,0,0,0,1
__tpi_cp_185___aig_and_13,1,0,0,1,0
__tpi_cp_186___buf_split_1273,1,0,0,1,0
__tpi_cp_187___buf_split_683,1,0,0,0,1
__tpi_cp_188___buf_split_1085,1,0,0,1,0
__tpi_cp_189_n_782,1,0,0,0,1
__tpi_cp_18_n_3926,1,0,0,1,0
__tpi_cp_190___aig_and_271,1,0,0,1,0
__tpi_cp_192___aig_and_1341,1,0,0,1,0
__tpi_cp_193___aig_and_22,1,0,0,1,0
__tpi_cp_194___aig_and_116,1,0,0,1,0
__tpi_cp_195___aig_and_112,1,0,0,1,0
__tpi_cp_196___aig_and_108,1,0,0,1,0
__tpi_cp_199___aig_and_120,1,0,0,1,0
__tpi_cp_1___buf_split_1304,1,0,0,0,1
__tpi_cp_200___buf_split_677,1,0,0,0,1
__tpi_cp_201___aig_and_1330,1,0,0,1,0
__tpi_cp_202___aig_and_813,1,0,0,0,1
__tpi_cp_204_n_2422,1,0,0,1,0
__tpi_cp_205___buf_split_1171,1,0,0,1,0
__tpi_cp_207___buf_split_1070,1,0,0,1,0
__tpi_cp_209_n_1117,1,0,0,0,1
__tpi_cp_211___aig_not_316,1,0,0,1,0
__tpi_cp_212___buf_split_896,1,0,0,1,0
__tpi_cp_213___aig_and_1320,1,0,0,1,0
__tpi_cp_214_n_1581,1,0,0,1,0
__tpi_cp_216___aig_and_1331,1,0,0,1,0
__tpi_cp_217___aig_and_1332,1,0,0,1,0
__tpi_cp_218___aig_and_1335,1,0,0,1,0
__tpi_cp_21___aig_and_1207,1,0,0,1,0
__tpi_cp_223___aig_and_1327,1,0,0,1,0
__tpi_cp_224___aig_not_286,1,0,0,0,1
__tpi_cp_225_n_1219,1,0,0,0,1
__tpi_cp_226___aig_not_339,1,0,0,0,1
__tpi_cp_228_n_1678,1,0,0,1,0
__tpi_cp_229_n_5345,1,0,0,1,0
__tpi_cp_22___aig_not_382,1,0,0,0,1
__tpi_cp_230_n_2073,1,0,0,1,0
__tpi_cp_231_n_2078,1,0,0,1,0
__tpi_cp_232___buf_split_1112,1,0,0,1,0
__tpi_cp_233_n_5344,1,0,0,1,0
__tpi_cp_234_n_896,1,0,0,0,1
__tpi_cp_235___buf_split_886,1,0,0,1,0
__tpi_cp_236___aig_not_697,1,0,0,0,1
__tpi_cp_237___buf_split_887,1,0,0,1,0
__tpi_cp_238___aig_and_124,1,0,0,1,0
__tpi_cp_23_n_2444,1,0,0,1,0
__tpi_cp_241_n_2287,1,0,0,0,1
__tpi_cp_243___aig_and_914,1,0,0,1,0
__tpi_cp_245___aig_not_893,1,0,0,0,1
__tpi_cp_246___buf_split_1211,1,0,0,1,0
__tpi_cp_247___buf_split_1530,1,0,0,1,0
__tpi_cp_248___aig_not_323,1,0,0,0,1
__tpi_cp_249___aig_not_349,1,0,0,0,1
__tpi_cp_24___aig_and_709,1,0,0,0,1
__tpi_cp_250___aig_not_749,1,0,0,0,1
__tpi_cp_251___aig_not_365,1,0,0,0,1
__tpi_cp_252_n_832,1,0,0,1,0
__tpi_cp_253___buf_split_1297,1,0,0,0,1
