node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_not_31981,1,0,1,0,0
__aig_not_31983,1,0,1,0,0
__aig_not_31985,1,0,1,0,0
__aig_not_31987,1,0,1,0,0
__aig_not_31989,1,0,1,0,0
__aig_not_31991,1,0,1,0,0
__aig_not_31994,1,0,1,0,0
__aig_not_32105,1,0,1,0,0
__aig_not_32891,1,0,1,0,0
__aig_not_61921,1,0,1,0,0
__aig_not_61923,1,0,1,0,0
__aig_not_61925,1,0,1,0,0
__aig_not_61927,1,0,1,0,0
__aig_not_61934,1,0,1,0,0
__buf_split_20795,1,0,1,0,0
__buf_split_20891,1,0,1,0,0
__tpi_op_3_new_n15301,1,1,0,0,0
new_n15301,1,1,0,0,0
new_n15305,1,1,0,0,0
new_n15368,1,1,0,0,0
