checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	q_pred	score_pred	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
incumbent	b15_C	initial	cached_hard_cone	1	__buf_split_1	control0	__buf_split_1::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control0	0.21612630784511566	0.21612630784511566	0.2648738622665405	0.0026487386226654052	0.2239551842212677	0.2239551842212677	-0.06434640288352966	-5.945811241865158	-6.312433026731014	0.08932951092720032	8.932951092720032	0.3065981864929199	-0.12485501170158386	-0.01684684492647648	0.28189805150032043	0.0431177131831646	16170.095703125	14725.62890625
incumbent	b15_C	initial	cached_hard_cone	2	__buf_split_1	control1	__buf_split_1::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control1	0.22399307787418365	0.22399307787418365	0.2781575322151184	0.002781575322151184	0.23377719521522522	0.23377719521522522	-0.05738551542162895	-5.226616814732552	-5.610567860305309	0.060677509754896164	6.067750975489616	0.30893218517303467	-0.12495672702789307	-0.015015659853816032	0.2396368533372879	0.01773158274590969	16170.095703125	15188.9345703125
incumbent	b15_C	initial	cached_hard_cone	3	__buf_split_1	observe	__buf_split_1::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__observe	0.19884034991264343	0.19884034991264343	0.24225468933582306	0.0024225468933582305	0.20539206266403198	0.20539206266403198	-0.06980307400226593	-6.532660648226738	-6.868395712226629	0.06364649534225464	6.364649534225464	0.30715030431747437	-0.12431550025939941	-0.01922103576362133	0.27637213468551636	0.012597473338246346	16170.095703125	15140.92578125
incumbent	b15_C	initial	cached_hard_cone	4	N16715	control0	N16715::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control0	0.20281298458576202	0.20281298458576202	0.24328021705150604	0.0024328021705150604	0.21200111508369446	0.21200111508369446	-0.0694417953491211	-6.488898202776909	-6.830359201878309	0.08266454935073853	8.266454935073853	0.30527371168136597	-0.12313221395015717	-0.019473792985081673	0.2995040714740753	0.030606620013713837	16168.650390625	14832.076171875
incumbent	b15_C	initial	cached_hard_cone	5	N16715	control1	N16715::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control1	0.2107882797718048	0.2107882797718048	0.25845175981521606	0.0025845175981521608	0.2219485342502594	0.2219485342502594	-0.0628051608800888	-5.800115793943405	-6.160416014492512	0.0617862343788147	6.17862343788147	0.3056510090827942	-0.12354980409145355	-0.017735617235302925	0.2633322775363922	0.013399908319115639	16168.650390625	15169.650390625
incumbent	b15_C	initial	cached_hard_cone	6	N16715	observe	N16715::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__observe	0.199497789144516	0.199497789144516	0.23834870755672455	0.0023834870755672453	0.20624826848506927	0.20624826848506927	-0.06915712356567383	-6.471115380525589	-6.804563112556934	0.059448327869176865	5.9448327869176865	0.3070262670516968	-0.12397338449954987	-0.01948230154812336	0.2958042323589325	0.0027049679774791002	16168.650390625	15207.451171875
incumbent	b15_C	initial	cached_hard_cone	7	__buf_split_3	control0	__buf_split_3::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control0	0.21612635254859924	0.21612635254859924	0.2648738622665405	0.0026487386226654052	0.22395513951778412	0.22395513951778412	-0.06434641778469086	-5.945812776684761	-6.3124345280230045	0.08932968974113464	8.932968974113464	0.3065982460975647	-0.12485501170158386	-0.01684684120118618	0.28189921379089355	0.0431177094578743	16170.0966796875	14725.626953125
incumbent	b15_C	initial	cached_hard_cone	8	__buf_split_3	control1	__buf_split_3::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control1	0.22399309277534485	0.22399309277534485	0.2781575322151184	0.002781575322151184	0.23377716541290283	0.23377716541290283	-0.05738551542162895	-5.226616844534874	-5.61056786775589	0.06067768856883049	6.067768856883049	0.30893224477767944	-0.12495672702789307	-0.015015637502074242	0.23963817954063416	0.017731506377458572	16170.0966796875	15188.9326171875
incumbent	b15_C	initial	cached_hard_cone	9	__buf_split_3	observe	__buf_split_3::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__observe	0.19884034991264343	0.19884034991264343	0.24225465953350067	0.002422546595335007	0.2053920179605484	0.2053920179605484	-0.06980307400226593	-6.532660722732544	-6.868395730853081	0.06364685297012329	6.364685297012329	0.30715036392211914	-0.12431548535823822	-0.01922103576362133	0.27637356519699097	0.01259762141853571	16170.0966796875	15140.9208984375
incumbent	b15_C	initial	cached_hard_cone	10	N16717	control0	N16717::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16717__control0	0.20251613855361938	0.20251613855361938	0.2433919459581375	0.0024339194595813752	0.21170414984226227	0.21170414984226227	-0.06945711374282837	-6.490615278482437	-6.831937350332737	0.08232004940509796	8.232004940509796	0.3052206039428711	-0.12317453324794769	-0.01951342262327671	0.2983400523662567	0.030459418892860413	16168.671875	14837.666015625
