step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,5.195585038363934,3.4872208595275875,0.6961511906981468,3.377130274936557,5.425424753589621,5.195585038363934,5.195585038363934,0.5745992880642188,0.4,3,2,1,0.0,1.0,2,1,1,0.0,1.1168162822723389,0.34677982330322266,4.894380512833595,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,1.0077537298202515,2.026980400085449,-0.09286728128790855,-0.16437563300132751,-0.021358929574489594,0.03364104777574539,1.5340158987045287,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766791827976704,3.494267354011536,6.481476174667478,3.265230522155762,4.528486633300781,3.278238040097057,5.195585038363934,5.195585038363934,5.195585038363934,greedy,5.195585038363934,0.0,hard_fault_cluster,,False
2,N2155,observe,1.457592248916626,4.636674811020494,3.0069554209709164,0.8750467462092637,3.013838627163321,5.012440036145884,4.636674811020494,4.636674811020494,1.0,0.37576522512539035,3,2,1,0.0,1.0,2,1,1,0.0,1.457592248916626,0.4267202615737915,4.572461410611867,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,1.2667834758758545,2.1258206367492676,-0.052728574723005295,-0.03182659298181534,-0.07363055646419525,0.025838786736130714,1.433363882899284,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979636900126934,7.359480464830995,4.625235252380371,7.020061178598553,4.483815031051636,4.0993773072958,3.2381428061425694,4.636674811020494,9.832259849384428,9.832259849384428,greedy,4.636674811020494,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.9932622301578524,1.980060064792633,0.009851351976394723,1.295620449602604,2.2335142332798386,1.9932622301578524,1.9932622301578524,0.6806029642097119,0.3529987610338382,3,2,1,0.0,1.0,2,1,1,0.0,1.1366417407989502,0.37319517135620117,1.6609304875135422,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,1.0406005382537842,1.9253590106964111,-0.0865979716181755,-0.1101505234837532,-0.06304541975259781,0.01918899454176426,-2.9935006600618363,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.2758267764002085,2.647661045789719,5.981538651976734,2.682521609067917,2.443326911330223,2.140263416171074,1.9932622301578524,11.825522079542282,11.825522079542282,greedy,1.9932622301578524,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,1.7198925173282624,1.5053794860839842,0.19486446499824525,1.1179301362633707,1.8120634419067836,1.7198925173282624,1.7198925173282624,0.2779483933592799,0.3316116472721602,3,2,1,0.0,0.6078352139585702,2,1,1,0.0,0.911552369594574,0.3220241069793701,1.5913340598344803,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.9360880851745605,1.9605175256729126,-0.07740489766001701,-0.10849008709192276,-0.04631970822811127,0.019666315987706184,-0.7614174979925157,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.25089667178690434,5.53969600982964,1.547010235786438,5.283428192604333,1.3737156081199646,1.7604912638664245,1.864059275984764,1.7198925173282624,13.545414596870543,13.545414596870543,greedy,1.7198925173282624,0.0,hard_fault_cluster,,False
5,N3756,control0,0.7222639322280884,1.1350157222524286,2.46194372177124,0.18069241452962165,0.7377602194640787,1.233169473607776,1.1350157222524286,1.5302924526787094,0.3150797787087871,0.311520313228562,2,3,0,0.0,0.2688634212314331,2,2,1,1.2688634212314331,0.7222639322280884,0.3096170425415039,1.0247292395681142,2.416571521759033,0.0030961704254150392,0.3825477063655853,0.021352248266339302,0.8219217658042908,2.0591747760772705,-0.053321242332458496,0.014718912541866302,-0.1213613972067833,0.021352248266339302,0.047123746573924985,0.049444861710071564,0.13231855630874634,0.027719702571630478,30589.94140625,13108.470703125,17481.470703125,30546.474609375,13047.279296875,17499.1953125,0.0014209506334736943,0.004668081179261208,-0.0010139084188267589,0.14209506334736943,5.275455461815,1.521742779314518,5.027228493709117,1.5250232282280922,1.0813894048333168,2.598281169310212,1.5302924526787094,15.075707049549253,15.075707049549253,greedy,1.5302924526787094,0.0,hard_fault_cluster,,False
6,N3644,control0,0.7473798990249634,1.3282984177768231,2.7423802137374875,0.07424245461821556,0.863393971554935,1.2533721708144812,1.3282984177768231,1.3282984177768231,-0.2560300928447175,0.2926462515786567,3,3,1,0.0,-0.40051954905276477,2,2,1,0.0,0.7473798990249634,0.30260205268859863,0.9084998458623885,2.3785500824451447,0.003026020526885986,0.3963528275489807,0.020910533145070076,0.691402792930603,1.9740790128707886,-0.029489926993846893,0.022697769105434418,-0.0816776230931282,0.020910533145070076,-0.7125822922587395,0.046566374599933624,0.1306353211402893,0.02538181096315384,30546.369140625,13047.166015625,17499.203125,30307.25,12886.3046875,17420.9453125,0.007828070782124996,0.012329216115176678,0.0044720787554979324,0.7828070782124996,4.980150045827031,0.7510712909698487,4.73751560645178,0.7258688259124756,1.2300305753946303,2.6229314653575417,1.3282984177768231,16.404005467326076,16.404005467326076,greedy,1.3282984177768231,0.0,hard_fault_cluster,,False
7,N5143,observe,0.40598341822624207,0.781427714675665,1.041116115450859,0.2642050279676914,0.5079280145391822,0.9233820784465256,0.9204204000507978,1.104071878083664,0.5163559513854784,0.2749157115163889,2,2,1,0.505582909788868,0.9025694629588662,2,1,1,1.1736112193382768,0.40598341822624207,0.27258777618408203,0.7602555971592664,1.3571201860904694,0.0027258777618408203,0.41275134682655334,0.025812001898884773,1.0803635120391846,2.1926186084747314,-0.04568655416369438,-0.044018641114234924,-0.04735446721315384,0.025812001898884773,1.2502275382727386,0.044416073709726334,0.13198722898960114,0.02362443134188652,30306.4609375,12885.5810546875,17420.880859375,30371.36328125,12891.6875,17479.67578125,-0.0021415348164737225,-0.00047389755491167307,-0.003374968422576785,-0.21415348164737225,4.7400071490556,0.7424205558001995,4.516207315493375,0.7578411118686199,0.5580186024308205,1.3861227678507566,1.104071878083664,17.508077345409742,17.508077345409742,greedy,1.104071878083664,0.0,hard_fault_cluster,,False
8,N557,control1,0.4714633524417877,1.2184625158458948,1.1331517934799193,0.05553036339581013,0.7920006352998317,1.228104635264782,1.2184625158458948,1.2184625158458948,0.037335016747552206,0.2582594105711568,3,2,1,0.0,-0.29368161717299096,2,1,1,0.0,0.4714633524417877,0.21750052273273468,0.31366851072758434,0.21530912667512891,0.002175005227327347,0.41140004992485046,0.024955546483397484,0.8005279302597046,1.9827048778533936,0.0066353268921375275,-0.01702512800693512,0.030295781791210175,0.024955546483397484,0.12976222850382327,0.042949166148900986,0.12994907796382904,0.022245530039072037,30376.6953125,12893.1787109375,17483.515625,30246.5234375,12797.939453125,17448.583984375,0.004285254515707493,0.007386794313788414,0.001997975865378976,0.4285254515707493,4.537372684106231,0.6595945978909731,4.355530632194132,0.7094099546223879,0.8219760201871396,0.7782103919610383,1.2184625158458948,18.726539861255638,18.726539861255638,greedy,1.2184625158458948,0.0,hard_fault_cluster,,False
9,N507,control1,0.36385470628738403,0.9646672423183918,1.3289848327636717,0.06488379374146465,0.6270337075069548,0.9858760748704193,0.9646672423183918,0.9886545995034571,0.08741863338811234,0.2426122638850534,1,2,0,0.0,0.2477401950382252,1,1,1,0.09887116504724658,0.36385470628738403,0.21261699497699738,0.7831669889390469,1.195203673839569,0.002126169949769974,0.4152226150035858,0.025139691308140755,0.7855167984962463,2.2426910400390625,-0.04179912060499191,-0.07253187149763107,-0.011066369712352753,0.025139691308140755,-0.24539762660861017,0.04065488278865814,0.12526190280914307,0.020150575786828995,30244.716796875,12793.396484375,17451.3203125,30206.55859375,12782.421875,17424.13671875,0.0012616486055776477,0.0008578338893130422,0.001557681243866682,0.12616486055776477,4.303244965150952,0.6146461799740791,4.124927450437099,0.5880546525120735,0.941089341789484,1.3042703857645392,0.9886545995034571,19.715194460759097,19.715194460759097,greedy,0.9886545995034571,0.0,hard_fault_cluster,,False
10,N3742,control0,0.25370118021965027,1.1495609743893147,2.5193074345588684,0.14301453724503518,0.7472146333530546,1.158041432560509,1.1495609743893147,1.1495609743893147,0.03720916901627912,0.22791312989236923,3,3,1,0.0,0.18287351541404967,2,2,1,0.0,0.25370118021965027,0.2124360352754593,1.0475629642605782,2.4894148528575895,0.002124360352754593,0.42172616720199585,0.024961324408650398,0.7379754781723022,2.287567138671875,-0.030285030603408813,0.010630153119564056,-0.07120021432638168,0.024961324408650398,-0.34852046549320226,0.04065144434571266,0.12857189774513245,0.020218100398778915,30202.841796875,12785.939453125,17416.90234375,30187.50390625,12761.6845703125,17425.8203125,0.0005078293615952134,0.0018969965167343616,-0.0005120295681990683,0.05078293615952134,4.302541794255376,1.0817259114980697,4.124493774492294,1.0631244164705276,1.1428752407431602,2.714521384462714,1.1495609743893147,20.86475543514841,20.86475543514841,greedy,1.1495609743893147,0.0,hard_fault_cluster,,False
