step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,5.195585038363934,3.4872208595275875,0.6961511906981468,3.377130274936557,5.303838493525982,5.195585038363934,5.195585038363934,0.5412672758102417,0.2,3,2,1,0.0,0.5412672758102417,2,1,1,0.0,1.1168162822723389,0.34677982330322266,4.894380512833595,3.795846104621887,0.0034677982330322266,0.2820698022842407,0.03364104777574539,0.7440885305404663,2.6953892707824707,0.08313608169555664,0.0653315931558609,0.10094057023525238,0.03364104777574539,1.5340158987045287,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766791827976704,3.494267354011536,6.481476174667478,3.265230522155762,4.528486633300781,3.278238040097057,5.195585038363934,5.195585038363934,5.195585038363934,greedy,5.195585038363934,0.0,hard_fault_cluster,,False
2,N2155,observe,1.457592248916626,4.636674811020494,3.0069554209709164,0.8750467462092637,3.013838627163321,4.8245574235831885,4.636674811020494,4.636674811020494,1.0,0.18788261256269517,3,2,1,0.0,1.0,2,1,1,0.0,1.457592248916626,0.4267202615737915,4.572461410611867,3.4263235688209535,0.004267202615737915,0.32851269841194153,0.025838786736130714,1.145137906074524,2.568512201309204,0.30491964519023895,0.3089357614517212,0.3009035289287567,0.025838786736130714,1.433363882899284,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979636900126934,7.359480464830995,4.625235252380371,7.020061178598553,4.483815031051636,4.0993773072958,3.2381428061425694,4.636674811020494,9.832259849384428,9.832259849384428,greedy,4.636674811020494,0.0,hard_fault_cluster,,False
3,N502,control1,1.1366417407989502,1.9932622301578524,1.980060064792633,0.009851351976394723,1.295620449602604,1.9020949249807044,1.9932622301578524,1.9932622301578524,-0.516530454158783,0.1764993805169191,3,2,1,0.0,-0.516530454158783,2,1,1,0.0,1.1366417407989502,0.37319517135620117,1.6609304875135422,1.9155067682266234,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.7976308465003967,2.562967538833618,-0.08060583472251892,-0.2626097798347473,0.10139811038970947,0.01918899454176426,-2.9935006600618363,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.2758267764002085,2.647661045789719,5.981538651976734,2.682521609067917,2.443326911330223,2.140263416171074,1.9932622301578524,11.825522079542282,11.825522079542282,greedy,1.9932622301578524,0.0,hard_fault_cluster,,False
4,N762,control1,0.911552369594574,1.7198925173282624,1.5053794860839842,0.19486446499824525,1.1179301362633707,1.5540866936921822,1.7198925173282624,1.7198925173282624,-1.0,0.1658058236360801,3,2,1,0.0,-1.0,2,1,1,0.0,0.911552369594574,0.3220241069793701,1.5913340598344803,1.9518027186393736,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.7372897267341614,2.5040762424468994,-0.06491268426179886,-0.2025894969701767,0.07276412844657898,0.019666315987706184,-0.7614174979925157,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.25089667178690434,5.53969600982964,1.547010235786438,5.283428192604333,1.3737156081199646,1.7604912638664245,1.864059275984764,1.7198925173282624,13.545414596870543,13.545414596870543,greedy,1.7198925173282624,0.0,hard_fault_cluster,,False
5,N3644,control0,0.8055379390716553,1.2149060480296612,2.8909715652465815,-0.17070152610540384,0.7896889312192797,1.2149060480296612,1.2149060480296612,1.2149060480296612,0.0,0.155760156614281,3,3,1,0.0,-1.0,2,2,1,0.0,0.8055379390716553,0.30319952964782715,0.5936396986246109,2.2721435248851773,0.0030319952964782716,0.3802046775817871,0.018699781969189644,0.6857483983039856,2.7496683597564697,0.014800075441598892,-0.06579617410898209,0.09539632499217987,0.018699781969189644,-2.282573111951351,0.04789303243160248,0.12865088880062103,0.026215199381113052,30589.82421875,13108.3330078125,17481.4921875,30413.380859375,12975.103515625,17438.27734375,0.005768041126430035,0.010163725353777409,0.0024720339570194483,0.5768041126430035,5.111202554777265,0.2193464004993439,4.869778071064502,0.02334001354873183,1.4198170036077498,2.73353854984045,1.2149060480296612,14.760320644900204,14.760320644900204,greedy,1.2149060480296612,0.0,hard_fault_cluster,,False
6,N3756,control0,0.6937283277511597,1.0592403591424226,2.438646417856216,0.1515331593900919,0.6885062334425748,1.0515110711232971,1.0592403591424226,1.0592403591424226,-0.052823420614004135,0.14632312578932835,3,3,1,0.0,-0.24298195540905,2,2,1,0.0,0.6937283277511597,0.30780118703842163,0.9237510226666926,2.3657284438610073,0.0030780118703842164,0.3990587890148163,0.021759213879704475,0.8821534514427185,2.8313162326812744,-0.020886138081550598,-0.08100315928459167,0.03923088312149048,0.021759213879704475,-0.030634123682975856,0.04705914482474327,0.13186287879943848,0.02587738260626793,30413.51953125,12975.2578125,17438.26171875,30344.974609375,12903.07421875,17441.900390625,0.0022537647746503353,0.005563172046095133,-0.00020866024715360254,0.22537647746503353,5.035474883392453,0.986806225180626,4.788304582703859,1.0146671348810197,0.9877953857183456,2.5220483896136283,1.0592403591424226,15.819561004042628,15.819561004042628,greedy,1.0592403591424226,0.0,hard_fault_cluster,,False
7,N5143,observe,0.3869685232639313,0.8028392398357391,1.127147415280342,0.2630024147033691,0.5218455058932304,0.9402970955939336,1.077754951352128,1.077754951352128,1.0,0.13745785575819444,3,2,1,2.0,1.0,2,1,1,2.0,0.3869685232639313,0.2756909728050232,0.7796566653251648,1.55827654004097,0.0027569097280502317,0.4136582911014557,0.025944629684090614,1.0500766038894653,2.8439552783966064,0.279000423848629,0.22703026235103607,0.3309705853462219,0.025944629684090614,1.2332446344196797,0.04457755759358406,0.13263699412345886,0.02387940138578415,30344.072265625,12902.234375,17441.837890625,30381.8203125,12894.6640625,17487.15625,-0.0012440007412806153,0.000586744281463325,-0.0025982558727264404,-0.12440007412806153,4.75939136184752,0.7511976756900549,4.5331646599806845,0.7505512633174658,0.5677782505750656,1.4847429105639458,1.077754951352128,16.897315955394756,16.897315955394756,greedy,1.077754951352128,0.0,hard_fault_cluster,,False
8,N557,control1,0.4604581296443939,1.200339708691463,1.0994310736656188,0.06493073898367584,0.7802208106494509,1.0712100034058845,1.200339708691463,1.200339708691463,-1.0,0.1291297052855784,3,2,1,0.0,-1.0,2,1,1,0.0,0.4604581296443939,0.22054578363895416,0.32494966753758486,0.21761077418923375,0.0022054578363895415,0.4113081395626068,0.024786600843071938,0.790940523147583,2.2909395694732666,-1.6048550605773926e-05,-0.17267589271068573,0.17264379560947418,0.024786600843071938,0.19097543518990276,0.04307848960161209,0.13036984205245972,0.02239440754055977,30387.11328125,12896.1171875,17490.99609375,30255.875,12800.94140625,17454.93359375,0.004318879451602697,0.007380188908427954,0.0020617751870304346,0.43188794516026974,4.553181344643235,0.6561873033083976,4.369182056281716,0.7103451862372459,0.8124724734574558,0.7650837473757566,1.200339708691463,18.09765566408622,18.09765566408622,greedy,1.200339708691463,0.0,hard_fault_cluster,,False
9,N3742,control0,0.29549553990364075,1.003886197032407,2.3643118560314176,0.17712697044946255,0.6525260280710645,0.9875609911755813,1.108867123118108,1.098482582093005,-0.13457857072353363,0.1213061319425267,3,3,1,0.8654214292764664,-0.22018463909626007,2,2,1,0.7798153609037399,0.29549553990364075,0.22328712046146393,0.9460172838531434,2.375123977661133,0.0022328712046146395,0.41799506545066833,0.025535518303513527,0.829889714717865,2.8309829235076904,-0.022546641528606415,-0.08081494271755219,0.035721659660339355,0.025535518303513527,0.2084229043126106,0.042066384106874466,0.13112273812294006,0.021389693021774292,30251.005859375,12800.193359375,17450.8125,30236.01953125,12783.0576171875,17452.962890625,0.0004953993484377861,0.0013387096114456654,-0.0001232258218806237,0.04953993484377861,4.455461049452424,0.8965503124892712,4.268844070378691,0.8999229221045971,0.9229360714554786,2.5076598352938886,1.098482582093005,19.196138246179224,19.196138246179224,greedy,1.098482582093005,0.0,hard_fault_cluster,,False
10,N508,control1,0.3622320294380188,1.6906391444057227,1.4696580767631529,0.12664049498736857,1.0989154438637199,1.6398398609446303,1.6906391444057227,1.6906391444057227,-0.4457775950431824,0.11395656494618461,3,2,1,0.0,-0.4457775950431824,2,1,1,0.0,0.3622320294380188,0.21979202330112457,1.0166143663227558,0.7645758152008056,0.0021979202330112456,0.42118486762046814,0.02558867447078228,0.8077720999717712,2.6101412773132324,-0.03239744156599045,-0.23305682837963104,0.16826194524765015,0.02558867447078228,-0.16098536729812624,0.041329625993967056,0.12906411290168762,0.021130092442035675,30239.25,12779.2607421875,17459.98828125,30157.44921875,12748.30859375,17409.140625,0.0027051193173974752,0.002422061050310731,0.0029122389387339354,0.2705119317397475,4.3783432971686125,0.9522554117441178,4.194307773839682,0.9445481377840043,1.2934212863445282,1.1202316232770682,1.6906391444057227,20.886777390584946,20.886777390584946,greedy,1.6906391444057227,0.0,hard_fault_cluster,,False
