node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__aig_and_8866,1,0,0,0,1
__aig_not_8847,1,0,1,0,0
__aig_not_8851,1,0,1,0,0
__aig_not_8855,1,0,1,0,0
__aig_not_8867,1,0,1,0,0
__aig_not_8869,1,0,1,0,0
__aig_not_8871,1,0,1,0,0
__aig_not_8873,1,0,1,0,0
__aig_not_8875,1,0,1,0,0
__aig_not_8877,1,0,1,0,0
__aig_not_8879,1,0,1,0,0
__aig_not_8881,1,0,1,0,0
__aig_not_8883,1,0,1,0,0
__aig_not_8885,1,0,1,0,0
__aig_not_8887,1,0,1,0,0
__aig_not_8889,1,0,1,0,0
__buf_split_4977,1,0,1,0,0
__buf_split_4978,1,0,1,0,0
__buf_split_4979,1,0,1,0,0
__buf_split_4980,1,0,1,0,0
__buf_split_4987,1,0,1,0,0
__buf_split_4988,1,0,1,0,0
__buf_split_4989,1,0,1,0,0
__buf_split_4990,1,0,1,0,0
__buf_split_4991,1,0,1,0,0
__buf_split_4992,1,0,1,0,0
__buf_split_4993,1,0,1,0,0
__buf_split_4994,1,0,1,0,0
__buf_split_4995,1,0,1,0,0
__buf_split_4996,1,0,1,0,0
__buf_split_4997,1,0,1,0,0
__buf_split_4999,1,0,1,0,0
