benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	score_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
subckt_0001	initial	cached_stride	1	__buf_split_551	control0	__buf_split_551::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__control0	0.514468789100647	0.005144687891006469	0.26625126600265503	0.26625126600265503	0.14488878846168518	15.26959890127182	0.514468789100647	0.6237310767173767	-0.05627109110355377	0.22682157158851624							
subckt_0001	initial	cached_stride	2	__buf_split_551	control1	__buf_split_551::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__control1	0.5156126618385315	0.005156126618385315	0.2824850082397461	0.2824850082397461	0.14837275445461273	15.63537311553955	0.5156126618385315	0.6221222281455994	-0.059224456548690796	0.23294362425804138							
subckt_0001	initial	cached_stride	3	__buf_split_551	observe	__buf_split_551::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__observe	0.5106390118598938	0.005106390118598938	0.2637641429901123	0.2637641429901123	0.143716961145401	15.146099269390106	0.5106390118598938	0.6216865181922913	-0.05303315818309784	0.22625581920146942							
subckt_0001	initial	cached_stride	4	__buf_split_1126	control0	__buf_split_1126::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1126__control0	0.5140026807785034	0.005140026807785034	0.2692653238773346	0.2692653238773346	0.14514878392219543	15.298146396875381	0.5140026807785034	0.6224561333656311	-0.05629889667034149	0.22666308283805847							
subckt_0001	initial	cached_stride	5	__buf_split_1126	control1	__buf_split_1126::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1126__control1	0.5152389407157898	0.005152389407157898	0.28435182571411133	0.28435182571411133	0.14881496131420135	15.681086897850037	0.5152389407157898	0.6211280226707458	-0.05866877734661102	0.2325696349143982							
subckt_0001	initial	cached_stride	6	__buf_split_1126	observe	__buf_split_1126::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1126__observe	0.5101224780082703	0.005101224780082703	0.2648267149925232	0.2648267149925232	0.1437625288963318	15.151202082633972	0.5101224780082703	0.6200903058052063	-0.05276237428188324	0.22573257982730865							
subckt_0001	initial	cached_stride	7	__aig_not_1625	control0	__aig_not_1625::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_1625__control0	0.5045173764228821	0.005045173764228821	0.28371894359588623	0.28371894359588623	0.14591734111309052	15.37997043132782	0.5045173764228821	0.61162930727005	-0.05244837701320648	0.22688844799995422							
subckt_0001	initial	cached_stride	8	__aig_not_1625	control1	__aig_not_1625::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_1625__control1	0.511760950088501	0.00511760950088501	0.27829909324645996	0.27829909324645996	0.14572200179100037	15.362260222434998	0.511760950088501	0.6199265718460083	-0.053066760301589966	0.22634273767471313							
subckt_0001	initial	cached_stride	9	__aig_not_1625	observe	__aig_not_1625::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_1625__observe	0.5044059157371521	0.005044059157371521	0.26765304803848267	0.26765304803848267	0.14315150678157806	15.087209641933441	0.5044059157371521	0.6164887547492981	-0.04923166334629059	0.224678635597229							
subckt_0001	initial	cached_stride	10	__buf_split_1219	control0	__buf_split_1219::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1219__control0	0.5085492730140686	0.005085492730140686	0.2721145451068878	0.2721145451068878	0.14580011367797852	15.360675185918808	0.5085492730140686	0.617394745349884	-0.053336381912231445	0.22617095708847046							
subckt_0001	initial	cached_stride	11	__buf_split_1219	control1	__buf_split_1219::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1219__control1	0.514112114906311	0.00514112114906311	0.27660006284713745	0.27660006284713745	0.148096963763237	15.600408554077148	0.514112114906311	0.6201757788658142	-0.05460907518863678	0.22933262586593628							
subckt_0001	initial	cached_stride	12	__buf_split_1219	observe	__buf_split_1219::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1219__observe	0.5149818658828735	0.005149818658828735	0.2443922907114029	0.2443922907114029	0.1454138159751892	15.300755754113197	0.5149818658828735	0.6340023875236511	-0.04807744175195694	0.2123347371816635							
subckt_0001	initial	cached_stride	13	__aig_and_11368	control0	__aig_and_11368::control0	ok	0.00037999999999993594	0.00037999999999993594	0	0.8996299999999999	0.8996299999999999	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11368__control0	0.5050251483917236	0.0050502514839172365	0.2752525806427002	0.2752525806427002	0.14213629066944122	14.993906795978546	0.5050251483917236	0.6169694662094116	-0.05565007030963898	0.22984245419502258							
subckt_0001	initial	cached_stride	14	__aig_and_11368	control1	__aig_and_11368::control1	ok	0.00037999999999993594	0.00037999999999993594	0	0.8996299999999999	0.8996299999999999	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11368__control1	0.507695734500885	0.0050769573450088505	0.2753598690032959	0.2753598690032959	0.14387406408786774	15.170462012290955	0.507695734500885	0.6177845001220703	-0.05464629828929901	0.23131901025772095							
subckt_0001	initial	cached_stride	15	__aig_and_11368	observe	__aig_and_11368::observe	ok	0.028530000000000055	0.028530000000000055	0	0.92778	0.92778	39	39		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11368__observe	0.5028599500656128	0.005028599500656128	0.2718479633331299	0.2718479633331299	0.14189158380031586	14.963866293430328	0.5028599500656128	0.6116557717323303	-0.05319662392139435	0.22843317687511444							
subckt_0001	initial	cached_stride	16	__aig_and_11424	control0	__aig_and_11424::control0	ok	-0.0014800000000000368	-0.0014800000000000368	0	0.89777	0.89777	55	55		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11424__control0	0.5096595883369446	0.005096595883369446	0.27875250577926636	0.27875250577926636	0.14325259625911713	15.113671720027924	0.5096595883369446	0.6164088845252991	-0.0577894002199173	0.224966362118721							
subckt_0001	initial	cached_stride	17	__aig_and_11424	control1	__aig_and_11424::control1	ok	-0.0014800000000000368	-0.0014800000000000368	0	0.89777	0.89777	55	55		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11424__control1	0.5116568803787231	0.005116568803787231	0.2831108570098877	0.2831108570098877	0.14562787115573883	15.357554852962494	0.5116568803787231	0.620208203792572	-0.057689860463142395	0.22825103998184204							
subckt_0001	initial	cached_stride	18	__aig_and_11424	observe	__aig_and_11424::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11424__observe	0.5108607411384583	0.005108607411384583	0.2707662582397461	0.2707662582397461	0.14320465922355652	15.102092921733856	0.5108607411384583	0.6235647797584534	-0.054135262966156006	0.22337976098060608							
subckt_0001	initial	cached_hard_cone	1	__buf_split_551	control0	__buf_split_551::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__control0	0.514468789100647	0.005144687891006469	0.26625126600265503	0.26625126600265503	0.14488878846168518	15.26959890127182	0.514468789100647	0.6237310767173767	-0.05627109110355377	0.22682157158851624							
subckt_0001	initial	cached_hard_cone	2	__buf_split_551	control1	__buf_split_551::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__control1	0.5156126618385315	0.005156126618385315	0.2824850082397461	0.2824850082397461	0.14837275445461273	15.63537311553955	0.5156126618385315	0.6221222281455994	-0.059224456548690796	0.23294362425804138							
subckt_0001	initial	cached_hard_cone	3	__buf_split_551	observe	__buf_split_551::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__observe	0.5106390118598938	0.005106390118598938	0.2637641429901123	0.2637641429901123	0.143716961145401	15.146099269390106	0.5106390118598938	0.6216865181922913	-0.05303315818309784	0.22625581920146942							
subckt_0001	initial	cached_hard_cone	4	__buf_split_552	control0	__buf_split_552::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_552__control0	0.5092037320137024	0.005092037320137024	0.273985356092453	0.273985356092453	0.1468840092420578	15.471590012311935	0.5092037320137024	0.6262502670288086	-0.05656510591506958	0.23160476982593536							
subckt_0001	initial	cached_hard_cone	5	__buf_split_552	control1	__buf_split_552::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_552__control1	0.5146892666816711	0.005146892666816711	0.2811884880065918	0.2811884880065918	0.14901046454906464	15.696924209594727	0.5146892666816711	0.6295660138130188	-0.059120550751686096	0.23546631634235382							
subckt_0001	initial	cached_hard_cone	6	__buf_split_552	observe	__buf_split_552::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_552__observe	0.5089923143386841	0.005089923143386841	0.26320362091064453	0.26320362091064453	0.144652858376503	15.237481772899628	0.5089923143386841	0.6305357813835144	-0.05245573818683624	0.22882765531539917							
subckt_0001	initial	cached_hard_cone	7	__buf_split_553	control0	__buf_split_553::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_553__control0	0.5142233371734619	0.005142233371734619	0.26793235540390015	0.26793235540390015	0.14509738981723785	15.291894674301147	0.5142233371734619	0.6240536570549011	-0.05624537169933319	0.22682565450668335							
subckt_0001	initial	cached_hard_cone	8	__buf_split_553	control1	__buf_split_553::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_553__control1	0.515285074710846	0.00515285074710846	0.28363871574401855	0.28363871574401855	0.1486450582742691	15.663429617881775	0.515285074710846	0.6222606301307678	-0.05889146029949188	0.23296526074409485							
subckt_0001	initial	cached_hard_cone	9	__buf_split_553	observe	__buf_split_553::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_553__observe	0.510319709777832	0.0051031970977783205	0.2642771899700165	0.2642771899700165	0.1437351107597351	15.14810797572136	0.510319709777832	0.6217215657234192	-0.052860766649246216	0.22623403370380402							
subckt_0001	initial	cached_hard_cone	10	__aig_not_767	control0	__aig_not_767::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_767__control0	0.5045080184936523	0.005045080184936523	0.28372722864151	0.28372722864151	0.1459174007177353	15.379975318908691	0.5045080184936523	0.6116230487823486	-0.052444860339164734	0.22689498960971832							
subckt_0001	initial	cached_hard_cone	11	__aig_not_767	control1	__aig_not_767::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_767__control1	0.5117519497871399	0.005117519497871399	0.27830272912979126	0.27830272912979126	0.1457221657037735	15.362271249294281	0.5117519497871399	0.6199243664741516	-0.05306246876716614	0.22634907066822052							
subckt_0001	initial	cached_hard_cone	12	__aig_not_767	observe	__aig_not_767::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_767__observe	0.5043967962265015	0.005043967962265015	0.26765912771224976	0.26765912771224976	0.14315196871757507	15.087252795696259	0.5043967962265015	0.6164836287498474	-0.049228087067604065	0.2246856689453125							
subckt_0001	initial	cached_hard_cone	13	__aig_and_1491	control0	__aig_and_1491::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1491__control0	0.5140631198883057	0.005140631198883056	0.2787419557571411	0.2787419557571411	0.145189106464386	15.311715722084045	0.5140631198883057	0.6213586926460266	-0.05483946204185486	0.22353510558605194							
subckt_0001	initial	cached_hard_cone	14	__aig_and_1491	control1	__aig_and_1491::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1491__control1	0.5125161409378052	0.005125161409378052	0.29107874631881714	0.29107874631881714	0.14815035462379456	15.618630349636078	0.5125161409378052	0.617407500743866	-0.05558870732784271	0.22810667753219604							
subckt_0001	initial	cached_hard_cone	15	__aig_and_1491	observe	__aig_and_1491::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1491__observe	0.5094751119613647	0.005094751119613648	0.276422381401062	0.276422381401062	0.14584973454475403	15.37087094783783	0.5094751119613647	0.6220924258232117	-0.052069082856178284	0.22415819764137268							
subckt_0001	initial	cached_hard_cone	16	__aig_and_1498	control0	__aig_and_1498::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1498__control0	0.5140527486801147	0.005140527486801148	0.2787027359008789	0.2787027359008789	0.1452019363641739	15.312949120998383	0.5140527486801147	0.6213690638542175	-0.05482305586338043	0.22353702783584595							
subckt_0001	initial	cached_hard_cone	17	__aig_and_1498	control1	__aig_and_1498::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1498__control1	0.5125049948692322	0.005125049948692322	0.2910391688346863	0.2910391688346863	0.14816144108772278	15.619688272476196	0.5125049948692322	0.6174190044403076	-0.055572256445884705	0.22810712456703186							
subckt_0001	initial	cached_hard_cone	18	__aig_and_1498	observe	__aig_and_1498::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1498__observe	0.5094610452651978	0.005094610452651978	0.27638429403305054	0.27638429403305054	0.14586229622364044	15.372074961662292	0.5094610452651978	0.622105062007904	-0.05204923450946808	0.2241627275943756							
subckt_0001	initial	cached_random	1	new_n5967	control0	new_n5967::control0	ok	-0.0014800000000000368	-0.0014800000000000368	0	0.89777	0.89777	55	55		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/new_n5967__control0	0.5093939900398254	0.005093939900398255	0.28510284423828125	0.28510284423828125	0.14736352860927582	15.530849695205688	0.5093939900398254	0.6195871233940125	-0.05654633045196533	0.22888092696666718							
subckt_0001	initial	cached_random	2	new_n5967	control1	new_n5967::control1	ok	-0.0014800000000000368	-0.0014800000000000368	0	0.89777	0.89777	55	55		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/new_n5967__control1	0.5150555968284607	0.005150555968284607	0.29130828380584717	0.29130828380584717	0.14926335215568542	15.73269909620285	0.5150555968284607	0.6223562359809875	-0.05771975219249725	0.23105500638484955							
subckt_0001	initial	cached_random	3	new_n5967	observe	new_n5967::observe	ok	0.004450000000000065	0.004450000000000065	0	0.9037000000000001	0.9037000000000001	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/new_n5967__observe	0.506460428237915	0.005064604282379151	0.2807713747024536	0.2807713747024536	0.14573176205158234	15.360408008098602	0.506460428237915	0.6150153875350952	-0.05306990444660187	0.22739370167255402							
subckt_0001	initial	cached_random	4	__aig_and_11376	control0	__aig_and_11376::control0	ok	0.00037999999999993594	0.00037999999999993594	0	0.8996299999999999	0.8996299999999999	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11376__control0	0.5053514242172241	0.005053514242172241	0.275845468044281	0.275845468044281	0.14298172295093536	15.079369187355042	0.5053514242172241	0.6195151805877686	-0.055667802691459656	0.23100392520427704							
subckt_0001	initial	cached_random	5	__aig_and_11376	control1	__aig_and_11376::control1	ok	0.00037999999999993594	0.00037999999999993594	0	0.8996299999999999	0.8996299999999999	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11376__control1	0.5074816346168518	0.005074816346168518	0.27538827061653137	0.27538827061653137	0.14445672929286957	15.22854283452034	0.5074816346168518	0.6200335621833801	-0.05456526577472687	0.23225216567516327							
subckt_0001	initial	cached_random	6	__aig_and_11376	observe	__aig_and_11376::observe	ok	0.03222999999999998	0.03222999999999998	0	0.93148	0.93148	37	37		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_11376__observe	0.5031664371490479	0.005031664371490479	0.2724933922290802	0.2724933922290802	0.1425149142742157	15.027151256799698	0.5031664371490479	0.61319500207901	-0.0532388836145401	0.22901511192321777							
subckt_0001	initial	cached_random	7	new_n1090	control0	new_n1090::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/new_n1090__control0	0.5118559002876282	0.005118559002876282	0.27558061480522156	0.27558061480522156	0.14536887407302856	15.324323922395706	0.5118559002876282	0.6234884858131409	-0.0542527437210083	0.22623474895954132							
subckt_0001	initial	cached_random	8	new_n1090	control1	new_n1090::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/new_n1090__control1	0.5151717662811279	0.005151717662811279	0.2901008725166321	0.2901008725166321	0.14929677546024323	15.734950184822083	0.5151717662811279	0.6213976740837097	-0.05623959004878998	0.23134845495224							
subckt_0001	initial	cached_random	9	new_n1090	observe	new_n1090::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/new_n1090__observe	0.5089375972747803	0.005089375972747803	0.2702263593673706	0.2702263593673706	0.14347203075885773	15.126367032527924	0.5089375972747803	0.6201444268226624	-0.05111488699913025	0.2254071682691574							
subckt_0001	initial	cached_random	10	__buf_split_1193	control0	__buf_split_1193::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1193__control0	0.5101938843727112	0.005101938843727112	0.27451151609420776	0.27451151609420776	0.14551660418510437	15.336365818977356	0.5101938843727112	0.6182594895362854	-0.05321769416332245	0.2254546582698822							
subckt_0001	initial	cached_random	11	__buf_split_1193	control1	__buf_split_1193::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1193__control1	0.5162681341171265	0.0051626813411712645	0.2797273099422455	0.2797273099422455	0.14774189889431	15.570185333490372	0.5162681341171265	0.6213183999061584	-0.05444936454296112	0.2283972054719925							
subckt_0001	initial	cached_random	12	__buf_split_1193	observe	__buf_split_1193::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_1193__observe	0.5160593390464783	0.005160593390464783	0.24610404670238495	0.24610404670238495	0.14509564638137817	15.27172802388668	0.5160593390464783	0.6345005631446838	-0.04796110838651657	0.2119986116886139							
