benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	q_pred	score_pred	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
iscas99__b22	initial	heuristic_recall_pool	55	N33624	observe	N33624::observe	ok	0.0045199999999999685	0.0045199999999999685	0	0.92582	0.92582	5226	5226			0.4110509157180786	0.4110509157180786	0.1667022705078125	0.001667022705078125	0.1667022705078125	0.8607356548309326	-0.009144015610218048	0.11303636431694031	-0.6575420796871185	0.014057391323149204	1.4057391323149204	-0.07449571788311005	-0.04214010387659073	-0.030982879921793938	0.0009582512429915369	0.023241475224494934	109052.953125	107519.953125
iscas99__b22	initial	heuristic_recall_pool	56	N33620	observe	N33620::observe	ok	0.0042800000000000615	0.0042800000000000615	0	0.9255800000000001	0.9255800000000001	5243	5243			0.4113142490386963	0.4113142490386963	0.16595101356506348	0.0016595101356506347	0.16595101356506348	0.8606459498405457	-0.009138962253928185	0.11270073801279068	-0.6572469845414162	0.01394800003618002	1.394800003618002	-0.07423193752765656	-0.042253002524375916	-0.03112969361245632	0.0006750174215994775	0.023254025727510452	109052.9296875	107531.859375
iscas99__b22	initial	heuristic_recall_pool	57	N33632	observe	N33632::observe	ok	0.004109999999999947	0.004109999999999947	0	0.92541	0.92541	5255	5255			0.4133760631084442	0.4133760631084442	0.15859031677246094	0.0015859031677246094	0.15859031677246094	0.8600539565086365	-0.009096631780266762	0.10898109525442123	-0.6550021097064018	0.013002350926399231	1.300235092639923	-0.07241027057170868	-0.04319879785180092	-0.03235965222120285	-0.001807867898605764	0.023386232554912567	109052.9921875	107635.046875
iscas99__b22	initial	heuristic_recall_pool	58	N33655	observe	N33655::observe	ok	0.0040400000000000436	0.0040400000000000436	0	0.92534	0.92534	5260	5260			0.4121150076389313	0.4121150076389313	0.1634877622127533	0.001634877622127533	0.1634877622127533	0.8605235815048218	-0.009123516269028187	0.1116597168147564	-0.6563487909734249	0.01364109106361866	1.364109106361866	-0.07343082129955292	-0.042598120868206024	-0.03157849609851837	-0.00014800495409872383	0.023309096693992615	109052.9765625	107565.375
iscas99__b22	initial	heuristic_recall_pool	59	N33598	observe	N33598::observe	ok	0.0035999999999999366	0.0035999999999999366	0	0.9248999999999999	0.9248999999999999	5291	5291			0.41292494535446167	0.41292494535446167	0.1604996919631958	0.001604996919631958	0.1604996919631958	0.8603335618972778	-0.009106822311878204	0.1101510226726532	-0.655473917722702	0.013274944387376308	1.3274944387376308	-0.07273229956626892	-0.04297112300992012	-0.032063573598861694	-0.0011160776484757662	0.02336491458117962	109052.953125	107605.28125
iscas99__b22	initial	heuristic_recall_pool	60	N33652	observe	N33652::observe	ok	0.003489999999999993	0.003489999999999993	0	0.92479	0.92479	5299	5299			0.4127543568611145	0.4127543568611145	0.1610577553510666	0.0016105775535106659	0.1610577553510666	0.8603692054748535	-0.00910937413573265	0.11048954725265503	-0.655580673366785	0.013334689661860466	1.3334689661860466	-0.07281537353992462	-0.04291410744190216	-0.03198942542076111	-0.0009670285508036613	0.023362064734101295	109052.96875	107598.78125
iscas99__b22	initial	heuristic_recall_pool	61	N33595	observe	N33595::observe	ok	0.003030000000000088	0.003030000000000088	0	0.9243300000000001	0.9243300000000001	5331	5331			0.41285017132759094	0.41285017132759094	0.1532922238111496	0.001532922238111496	0.1532922238111496	0.858362078666687	-0.009079516865313053	0.1037026159465313	-0.6550381109118462	0.012536120600998402	1.2536120600998402	-0.07349860668182373	-0.04358119145035744	-0.032856933772563934	-0.003040054114535451	0.023457037284970284	109053.0	107685.8984375
iscas99__b22	initial	heuristic_recall_pool	62	N33593	observe	N33593::observe	ok	0.002929999999999988	0.002929999999999988	0	0.92423	0.92423	5338	5338			0.41055867075920105	0.41055867075920105	0.14885644614696503	0.0014885644614696502	0.14885644614696503	0.8580376505851746	-0.009058226831257343	0.10107141360640526	-0.6540991589426994	0.012406944297254086	1.2406944297254086	-0.07345770299434662	-0.04405687376856804	-0.03347553312778473	-0.0033930763602256775	0.023484785109758377	109053.09375	107700.078125
iscas99__b22	initial	heuristic_recall_pool	63	N33629	observe	N33629::observe	ok	0.0028200000000000447	0.0028200000000000447	0	0.92412	0.92412	5346	5346			0.4122689366340637	0.4122689366340637	0.1547774076461792	0.001547774076461792	0.1547774076461792	0.8599435091018677	-0.009077820926904678	0.10693882405757904	-0.6541018635034561	0.012823754921555519	1.282375492155552	-0.07212705910205841	-0.04361908882856369	-0.032906219363212585	-0.0023274910636246204	0.023446815088391304	109052.984375	107654.515625
iscas99__b22	initial	heuristic_recall_pool	64	N33650	observe	N33650::observe	ok	0.0023900000000000032	0.0023900000000000032	0	0.92369	0.92369	5376	5376			0.41125622391700745	0.41125622391700745	0.14916963875293732	0.0014916963875293732	0.14916963875293732	0.8581673502922058	-0.009059649892151356	0.10137199983000755	-0.6541307419538498	0.012378017418086529	1.2378017418086529	-0.0733175128698349	-0.044025082141160965	-0.0334341898560524	-0.0034911094699054956	0.023504456505179405	109052.953125	107703.09375
iscas99__b22	initial	heuristic_recall_pool	65	N33616	observe	N33616::observe	ok	0.0021499999999999853	0.0021499999999999853	0	0.92345	0.92345	5393	5393			0.41094544529914856	0.41094544529914856	0.14005009829998016	0.0014005009829998016	0.14005009829998016	0.8558942675590515	-0.009022136218845844	0.09373074397444725	-0.6532275304198265	0.01155537087470293	1.155537087470293	-0.07382097840309143	-0.04486323893070221	-0.03452416509389877	-0.005620366893708706	0.02359776757657528	109053.046875	107792.8984375
iscas99__b22	initial	heuristic_recall_pool	66	N33648	observe	N33648::observe	ok	0.0017800000000001148	0.0017800000000001148	0	0.9230800000000001	0.9230800000000001	5419	5419			0.4122861921787262	0.4122861921787262	0.16178542375564575	0.0016178542375564575	0.16178542375564575	0.8608973026275635	-0.009116103872656822	0.11107233911752701	-0.6559397056698799	0.0135876489803195	1.35876489803195	-0.07305842638015747	-0.04276374354958534	-0.03179388493299484	-0.0003429404168855399	0.023354798555374146	109052.96875	107571.1953125
iscas99__b22	initial	heuristic_recall_pool	67	N47337	observe	N47337::observe	ok	0.0015600000000000058	0.0015600000000000058	0	0.92286	0.92286	5435	5435			0.4120940566062927	0.4120940566062927	0.1468510776758194	0.001468510776758194	0.1468510776758194	0.8581949472427368	-0.009048443287611008	0.10020169615745544	-0.6535828225314617	0.012101556174457073	1.2101556174457073	-0.0727681964635849	-0.04427545517683029	-0.03375978767871857	-0.0042422558180987835	0.023560695350170135	109052.9921875	107733.28125
iscas99__b22	initial	heuristic_recall_pool	68	N15291	observe	N15291::observe	ok	2.999999999997449e-05	2.999999999997449e-05	0	0.92133	0.92133	5542	5542			0.4336775839328766	0.4336775839328766	0.13121840357780457	0.0013121840357780456	0.13121840357780457	0.8384274244308472	-0.008878659456968307	0.08177988231182098	-0.6454544886946678	0.00904359482228756	0.904359482228756	-0.1081591248512268	-0.04806892201304436	-0.03869298845529556	-0.012067662551999092	0.02384500950574875	109052.4921875	108066.265625
iscas99__b22	initial	heuristic_recall_pool	69	N21135	observe	N21135::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4254912734031677	0.4254912734031677	0.1458117961883545	0.001458117961883545	0.1458117961883545	0.8456193804740906	-0.008978058584034443	0.09362531825900078	-0.649948064237833	0.009906030260026455	0.9906030260026455	-0.09339801222085953	-0.0458480641245842	-0.035804882645606995	-0.009523688815534115	0.023528506979346275	109052.890625	107972.609375
iscas99__b22	initial	heuristic_recall_pool	70	N20634	observe	N20634::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.42549002170562744	0.42549002170562744	0.14581754803657532	0.0014581754803657532	0.14581754803657532	0.8456117510795593	-0.00897807627916336	0.09362167119979858	-0.6499503031373024	0.009904741309583187	0.9904741309583187	-0.09340187907218933	-0.04584767669439316	-0.035804376006126404	-0.009526817128062248	0.02352856658399105	109052.890625	107972.75
iscas99__b22	initial	heuristic_recall_pool	71	N22256	observe	N22256::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.42548513412475586	0.42548513412475586	0.14584071934223175	0.0014584071934223175	0.14584071934223175	0.845580518245697	-0.008978147991001606	0.09360643848776817	-0.6499594897031784	0.009899726137518883	0.9899726137518883	-0.09341733902692795	-0.04584606736898422	-0.03580228239297867	-0.009539506398141384	0.023528873920440674	109052.890625	107973.296875
iscas99__b22	initial	heuristic_recall_pool	72	N13346	observe	N13346::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.42550715804100037	0.42550715804100037	0.1458859145641327	0.001458859145641327	0.1458859145641327	0.8455132246017456	-0.008978553116321564	0.09354382753372192	-0.6500055268406868	0.009881098754703999	0.9881098754703999	-0.09344573318958282	-0.04583701118826866	-0.03579050302505493	-0.009552539326250553	0.023506266996264458	109052.90625	107975.34375
iscas99__b22	initial	heuristic_recall_pool	73	N16819	observe	N16819::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.42550596594810486	0.42550596594810486	0.14588972926139832	0.0014588972926139832	0.14588972926139832	0.8455052971839905	-0.008978563360869884	0.09353869035840034	-0.6500075794756413	0.009879665449261665	0.9879665449261665	-0.0934496745467186	-0.045836787670850754	-0.03579021245241165	-0.009556276723742485	0.023506509140133858	109052.90625	107975.5
iscas99__b22	initial	heuristic_recall_pool	74	N17317	observe	N17317::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4255019724369049	0.4255019724369049	0.14590269327163696	0.0014590269327163696	0.14590269327163696	0.8454774618148804	-0.00897859688848257	0.09352046623826027	-0.6500146500766277	0.009874507784843445	0.9874507784843445	-0.09346382319927216	-0.04583603888750076	-0.035789236426353455	-0.009569487534463406	0.02350705675780773	109052.90625	107976.0625
iscas99__b22	initial	heuristic_recall_pool	75	N29719	observe	N29719::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4254508912563324	0.4254508912563324	0.1467795968055725	0.001467795968055725	0.1467795968055725	0.8454856872558594	-0.008982188068330288	0.09404647722840309	-0.6501524858176708	0.009947793558239937	0.9947793558239937	-0.093451127409935	-0.04575579985976219	-0.035684891045093536	-0.00936194695532322	0.023486154153943062	109052.921875	107968.0859375
iscas99__b22	initial	heuristic_recall_pool	76	N26816	observe	N26816::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4254504144191742	0.4254504144191742	0.14678364992141724	0.0014678364992141723	0.14678364992141724	0.8454834818840027	-0.008982202038168907	0.0940469279885292	-0.6501534208655357	0.009947650134563446	0.9947650134563446	-0.09345212578773499	-0.045755479484796524	-0.035684481263160706	-0.009362206794321537	0.023486154153943062	109052.921875	107968.1015625
iscas99__b22	initial	heuristic_recall_pool	77	N27319	observe	N27319::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4254504144191742	0.4254504144191742	0.14678364992141724	0.0014678364992141723	0.14678364992141724	0.8454834818840027	-0.008982202038168907	0.0940469279885292	-0.6501534208655357	0.0099475784227252	0.9947578422725201	-0.09345205128192902	-0.045755479484796524	-0.035684481263160706	-0.00936238095164299	0.023486154153943062	109052.921875	107968.109375
iscas99__b22	initial	heuristic_recall_pool	78	N27820	observe	N27820::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.425449937582016	0.425449937582016	0.14678755402565002	0.0014678755402565003	0.14678755402565002	0.8454811573028564	-0.008982216939330101	0.09404701739549637	-0.6501545161008835	0.00994743499904871	0.994743499904871	-0.0934533178806305	-0.04575514420866966	-0.03568404167890549	-0.009362815879285336	0.023486154153943062	109052.921875	107968.125
iscas99__b22	initial	heuristic_recall_pool	79	N20133	observe	N20133::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4278812110424042	0.4278812110424042	0.14475266635417938	0.0014475266635417938	0.14475266635417938	0.8442307710647583	-0.00896483100950718	0.09250033646821976	-0.6492372415959835	0.00976676307618618	0.976676307618618	-0.0970083475112915	-0.04614361375570297	-0.03618922829627991	-0.009906784631311893	0.023560253903269768	109052.890625	107987.796875
iscas99__b22	initial	heuristic_recall_pool	80	N17815	observe	N17815::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.4278965890407562	0.4278965890407562	0.1449444591999054	0.001449444591999054	0.1449444591999054	0.8440701365470886	-0.0089658722281456	0.09242737293243408	-0.6493335738778114	0.009736457839608192	0.9736457839608192	-0.09708021581172943	-0.04612034931778908	-0.0361589714884758	-0.009933460503816605	0.023527411743998528	109052.90625	107991.1171875
iscas99__b22	initial	heuristic_recall_pool	81	N8582	observe	N8582::observe	ok	9.99999999995449e-06	9.99999999995449e-06	0	0.92131	0.92131	5544	5544			0.42162761092185974	0.42162761092185974	0.12307180464267731	0.001230718046426773	0.12307180464267731	0.852710485458374	-0.008929613046348095	0.08282098546624184	-0.6490157321095467	0.010231212712824345	1.0231212712824345	-0.08576466143131256	-0.046930477023124695	-0.03721249848604202	-0.009787557646632195	0.02426675148308277	109056.59375	107940.8125
iscas99__b22	initial	heuristic_recall_pool	82	N1996	control1	N1996::control1	ok	-0.0022499999999999742	-0.0022499999999999742	0	0.91905	0.91905	5703	5703			0.4243637025356293	0.4243637025356293	0.12254936993122101	0.0012254936993122102	0.12254936993122101	0.8511382341384888	-0.008857970125973225	0.08789059147238731	-0.642375111579895	0.008915917947888374	0.8915917947888374	-0.09111027419567108	-0.0485311895608902	-0.03929413855075836	-0.012857700698077679	0.024182062596082687	109053.546875	108081.234375
iscas99__b22	initial	heuristic_recall_pool	83	N30655	control1	N30655::control1	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.43478068709373474	0.43478068709373474	0.11043140292167664	0.0011043140292167663	0.11043140292167664	0.8518153429031372	-0.008762598037719727	0.08598694205284119	-0.6356981173157692	0.00808009784668684	0.808009784668684	-0.10273978114128113	-0.050662070512771606	-0.04206524044275284	-0.015151172876358032	0.024368219077587128	109053.6328125	108172.46875
iscas99__b22	initial	heuristic_recall_pool	84	N5217	control1	N5217::control1	ok	-0.0021400000000000308	-0.0021400000000000308	0	0.91916	0.91916	5695	5695			0.4247409403324127	0.4247409403324127	0.12385377287864685	0.0012385377287864685	0.12385377287864685	0.8509179949760437	-0.008868810720741749	0.08789069578051567	-0.6431881301105022	0.008915308862924576	0.8915308862924576	-0.09088952094316483	-0.0482889749109745	-0.03897915780544281	-0.012669017538428307	0.024048760533332825	109053.984375	108081.734375
iscas99__b22	initial	heuristic_recall_pool	85	N32427	control1	N32427::control1	ok	-0.0017099999999999893	-0.0017099999999999893	0	0.91959	0.91959	5665	5665			0.4329231381416321	0.4329231381416321	0.11350072175264359	0.0011350072175264358	0.11350072175264359	0.8503773808479309	-0.008794745430350304	0.08440355956554413	-0.6385050173848867	0.00818632636219263	0.8186326362192631	-0.10089349746704102	-0.04994380846619606	-0.04113117605447769	-0.014652453362941742	0.02419929951429367	109053.796875	108161.046875
iscas99__b22	initial	heuristic_recall_pool	86	N30653	control1	N30653::control1	ok	-0.0022799999999999487	-0.0022799999999999487	0	0.9190200000000001	0.9190200000000001	5705	5705			0.43739625811576843	0.43739625811576843	0.10986059904098511	0.001098605990409851	0.10986059904098511	0.8492075204849243	-0.00876662414520979	0.0824057050049305	-0.6368953846395016	0.007858638651669025	0.7858638651669025	-0.10699019581079483	-0.050572119653224945	-0.04194825887680054	-0.015394429676234722	0.024162234738469124	109053.953125	108196.9375
iscas99__b22	initial	heuristic_recall_pool	87	N30654	control1	N30654::control1	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.4315027892589569	0.4315027892589569	0.11690013110637665	0.0011690013110637666	0.11690013110637665	0.8519829511642456	-0.008802497759461403	0.08863330632448196	-0.6380290053784847	0.008495665155351162	0.8495665155351162	-0.09840883314609528	-0.049770601093769073	-0.040905922651290894	-0.013943983241915703	0.024228796362876892	109053.7734375	108127.2890625
iscas99__b22	initial	heuristic_recall_pool	88	N32425	control1	N32425::control1	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.43729540705680847	0.43729540705680847	0.11054746061563492	0.0011054746061563492	0.11054746061563492	0.8508532047271729	-0.008760925382375717	0.08530812710523605	-0.6357423719018698	0.007950838655233383	0.7950838655233383	-0.1055493950843811	-0.050699446350336075	-0.04211384057998657	-0.015249921940267086	0.024217667058110237	109053.9453125	108186.875
iscas99__b22	initial	heuristic_recall_pool	89	N32426	control1	N32426::control1	ok	-0.0022199999999999998	-0.0022199999999999998	0	0.91908	0.91908	5701	5701			0.4243292212486267	0.4243292212486267	0.1221676766872406	0.001221676766872406	0.1221676766872406	0.8511660099029541	-0.008855713531374931	0.08776233345270157	-0.6422379314899445	0.008902289904654026	0.8902289904654026	-0.09114950895309448	-0.04858161136507988	-0.03935971111059189	-0.012928309850394726	0.02420843206346035	109053.75	108082.921875
iscas99__b22	initial	heuristic_recall_pool	90	N31536	control1	N31536::control1	ok	-0.0022900000000000142	-0.0022900000000000142	0	0.91901	0.91901	5706	5706			0.4329739809036255	0.4329739809036255	0.113310307264328	0.00113310307264328	0.113310307264328	0.8503525257110596	-0.00879470445215702	0.08419238775968552	-0.6385547369718552	0.008162328042089939	0.8162328042089939	-0.10086095333099365	-0.049944717437028885	-0.0411323606967926	-0.014696517027914524	0.024189427495002747	109053.7890625	108163.65625
iscas99__b22	initial	heuristic_recall_pool	91	N18514	control0	N18514::control0	ok	-0.0012400000000000189	-0.0012400000000000189	0	0.92006	0.92006	5632	5632			0.43919774889945984	0.43919774889945984	0.08671480417251587	0.0008671480417251587	0.08671480417251587	0.8417845368385315	-0.008679084479808807	0.060590893030166626	-0.6357836127281189	0.0071278465911746025	0.7127846591174603	-0.11640751361846924	-0.05252800136804581	-0.044491782784461975	-0.017049092799425125	0.024079060181975365	109052.921875	108275.609375
iscas99__b22	initial	heuristic_recall_pool	92	N13039	control0	N13039::control0	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.4420976936817169	0.4420976936817169	0.07717554271221161	0.000771755427122116	0.07717554271221161	0.8396799564361572	-0.008658211678266525	0.05103433132171631	-0.6366072930395603	0.005991712212562561	0.5991712212562561	-0.12181215733289719	-0.05299437418580055	-0.04509827494621277	-0.019451124593615532	0.02383018657565117	109052.9765625	108399.5625
iscas99__b22	initial	heuristic_recall_pool	93	N13041	control0	N13041::control0	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.442172646522522	0.442172646522522	0.0747697502374649	0.000747697502374649	0.0747697502374649	0.8397864103317261	-0.008651532232761383	0.04940293729305267	-0.6365141831338406	0.005759817082434893	0.5759817082434893	-0.12189594656229019	-0.05314360186457634	-0.045292340219020844	-0.01994355022907257	0.023780962452292442	109052.9453125	108424.8203125
iscas99__b22	initial	heuristic_recall_pool	94	N13043	control0	N13043::control0	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.4421999156475067	0.4421999156475067	0.07391536980867386	0.0007391536980867386	0.07391536980867386	0.8398288488388062	-0.008649162016808987	0.048828016966581345	-0.6364801470190287	0.005676929373294115	0.5676929373294115	-0.12191959470510483	-0.05319657176733017	-0.045361220836639404	-0.02011936902999878	0.02376328594982624	109052.953125	108433.8671875
iscas99__b22	initial	heuristic_recall_pool	95	N13045	control0	N13045::control0	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.4421998858451843	0.4421998858451843	0.07391417026519775	0.0007391417026519775	0.07391417026519775	0.8398288488388062	-0.008649159222841263	0.048827096819877625	-0.6364801675081253	0.00567685766145587	0.567685766145587	-0.12191978096961975	-0.053196635097265244	-0.04536130279302597	-0.020119717344641685	0.023763345554471016	109052.9609375	108433.8828125
iscas99__b22	initial	heuristic_recall_pool	96	N19350	control0	N19350::control0	ok	-0.0022699999999999942	-0.0022699999999999942	0	0.91903	0.91903	5704	5704			0.44209399819374084	0.44209399819374084	0.07730598747730255	0.0007730598747730255	0.07730598747730255	0.8396750688552856	-0.008658566512167454	0.05112440511584282	-0.6366113871335983	0.006004177033901215	0.6004177033901215	-0.12180712819099426	-0.05298643559217453	-0.04508794844150543	-0.019424792379140854	0.023832865059375763	109052.984375	108398.2109375
