checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	q_pred	score_pred	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
incumbent	b15_C	initial	cached_hard_cone	1	__buf_split_1	control0	__buf_split_1::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control0	0.12454015016555786	0.12454015016555786	0.2648738622665405	0.0026487386226654052	0.2239551842212677	0.2239551842212677	-0.06434640288352966	-5.945811241865158	-6.312433026731014	0.08932951092720032	8.932951092720032	0.3065981864929199	-0.12485502660274506	-0.016846856102347374	0.2818981111049652	0.0431177131831646	16170.095703125	14725.62890625
incumbent	b15_C	initial	cached_hard_cone	2	__buf_split_1	control1	__buf_split_1::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control1	0.1501719355583191	0.1501719355583191	0.2781575322151184	0.002781575322151184	0.23377719521522522	0.23377719521522522	-0.057385507971048355	-5.226616069674492	-5.61056711524725	0.060677509754896164	6.067750975489616	0.3089321255683899	-0.12495674192905426	-0.015015674754977226	0.23963691294193268	0.01773158274590969	16170.095703125	15188.9345703125
incumbent	b15_C	initial	cached_hard_cone	3	__buf_split_1	observe	__buf_split_1::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__observe	0.08977547287940979	0.08977547287940979	0.24225474894046783	0.0024225474894046784	0.20539206266403198	0.20539206266403198	-0.06980307400226593	-6.532660588622093	-6.868395697325468	0.06364649534225464	6.364649534225464	0.30715030431747437	-0.12431550025939941	-0.01922103576362133	0.27637219429016113	0.012597473338246346	16170.095703125	15140.92578125
incumbent	b15_C	initial	cached_hard_cone	4	N16715	control0	N16715::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control0	0.09284265339374542	0.09284265339374542	0.24328021705150604	0.0024328021705150604	0.21200111508369446	0.21200111508369446	-0.0694417953491211	-6.488898202776909	-6.830359201878309	0.08266454935073853	8.266454935073853	0.30527377128601074	-0.12313221395015717	-0.019473785534501076	0.2995040714740753	0.030606620013713837	16168.650390625	14832.076171875
incumbent	b15_C	initial	cached_hard_cone	5	N16715	control1	N16715::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control1	0.11883533000946045	0.11883533000946045	0.25845175981521606	0.0025845175981521608	0.2219485342502594	0.2219485342502594	-0.0628051608800888	-5.800115793943405	-6.160416014492512	0.0617862343788147	6.17862343788147	0.3056510090827942	-0.12354980409145355	-0.017735617235302925	0.2633322775363922	0.013399908319115639	16168.650390625	15169.650390625
incumbent	b15_C	initial	cached_hard_cone	6	N16715	observe	N16715::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__observe	0.08549593389034271	0.08549593389034271	0.23834867775440216	0.0023834867775440216	0.20624826848506927	0.20624826848506927	-0.06915713846683502	-6.471116900444031	-6.804564610123634	0.059448327869176865	5.9448327869176865	0.3070262670516968	-0.12397336959838867	-0.01948227919638157	0.2958042323589325	0.0027049679774791002	16168.650390625	15207.451171875
incumbent	b15_C	initial	cached_hard_cone	7	__buf_split_3	control0	__buf_split_3::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control0	0.12454020977020264	0.12454020977020264	0.2648738622665405	0.0026487386226654052	0.22395513951778412	0.22395513951778412	-0.06434641778469086	-5.945812776684761	-6.3124345280230045	0.08932968974113464	8.932968974113464	0.3065982460975647	-0.12485501170158386	-0.01684684120118618	0.28189921379089355	0.0431177094578743	16170.0966796875	14725.626953125
incumbent	b15_C	initial	cached_hard_cone	8	__buf_split_3	control1	__buf_split_3::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control1	0.1501719057559967	0.1501719057559967	0.2781575322151184	0.002781575322151184	0.23377719521522522	0.23377719521522522	-0.057385507971048355	-5.226616069674492	-5.61056711524725	0.06067768856883049	6.067768856883049	0.30893218517303467	-0.12495672702789307	-0.015015659853816032	0.23963817954063416	0.017731506377458572	16170.0966796875	15188.9326171875
incumbent	b15_C	initial	cached_hard_cone	9	__buf_split_3	observe	__buf_split_3::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__observe	0.0897754430770874	0.0897754430770874	0.24225468933582306	0.0024225468933582305	0.2053920179605484	0.2053920179605484	-0.06980307400226593	-6.532660692930222	-6.8683957234025	0.06364685297012329	6.364685297012329	0.3071504235267639	-0.12431548535823822	-0.019221024587750435	0.27637356519699097	0.01259762141853571	16170.0966796875	15140.9208984375
incumbent	b15_C	initial	cached_hard_cone	10	N16717	control0	N16717::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16717__control0	0.09306854009628296	0.09306854009628296	0.24339191615581512	0.002433919161558151	0.21170416474342346	0.21170416474342346	-0.06945709884166718	-6.490613803267479	-6.831935863941908	0.08232004940509796	8.232004940509796	0.3052206039428711	-0.12317453324794769	-0.019513415172696114	0.2983400523662567	0.030459418892860413	16168.671875	14837.666015625
