split	variant	score_field	kind	groups	actions	mean_spearman	mean_kendall_tau	mean_pearson	mean_top1_real_delta_tc	mean_top1_regret	negative_top1_rate	mean_sign_accuracy	pairwise_accuracy	pairwise_count	ndcg_at_5	ndcg_at_10
train	baseline	hybrid_pred	baseline	288	5184	0.051062577576841905	0.059993242760466456	-0.002295736241731886	0.0014276388888888956	0.015093020833333332	0.125	0.8304398148148148	0.5083217247733323	18466	0.45369518193780617	0.550916753377796
train	baseline	hard_reduction_total_pred	baseline	288	5184	0.06139088255936049	0.07159615528139379	0.00020738575815703144	0.0012777777777777867	0.01524288194444444	0.1284722222222222	0.8246527777777778	0.506550314664515	18464	0.4582119503490192	0.5521357881830609
train	baseline	reward_pred	baseline	288	5184	-0.12344424538063017	-0.13511132804835196	-0.060657126503987434	0.0021113541666666776	0.014409305555555548	0.19444444444444445	0.8618827160493827	0.528451916919806	18461	0.4155218263377309	0.4971357943976869
train	baseline	bounded_residual_hybrid_pred	baseline	288	5184	0.060176270058260956	0.07019721977305855	-0.0003421928010153625	0.001268958333333342	0.015251701388888884	0.1284722222222222	0.8254243827160495	0.5074686231277421	18466	0.4569802058979982	0.5518442145430275
train	baseline	derived_hard_reduction_hybrid_pred	baseline	288	5184	0.02127421522171548	0.024875378970455404	0.012331406787163908	0.00390895833333334	0.012611701388888888	0.1840277777777778	0.6811342592592592	0.4877567015802659	18461	0.42764684109521056	0.5313549764774462
expanded_val	baseline	hybrid_pred	baseline	48	864	0.031476491394793325	0.018516825722667486	-0.035062566675707015	-0.009015208333333335	0.035482708333333335	0.375	0.5844907407407408	0.5106980432720216	4705	0.4379532376349318	0.5393397450280886
expanded_val	baseline	hard_reduction_total_pred	baseline	48	864	0.04403395544828171	0.03124052640438189	-0.0245107483092592	-0.009015208333333335	0.035482708333333335	0.375	0.5844907407407408	0.5165218081858273	4705	0.44119667092849496	0.5405806494891973
expanded_val	baseline	reward_pred	baseline	48	864	-0.119646195103346	-0.10677331599199119	-0.060426073828083786	-0.0001722916666666574	0.026639791666666662	0.5416666666666666	0.5844907407407408	0.45863362520486917	4705	0.4323807526252708	0.5287199424233872
expanded_val	baseline	bounded_residual_hybrid_pred	baseline	48	864	0.042002126329435306	0.029155702193042754	-0.026942583470826214	-0.009015208333333335	0.035482708333333335	0.375	0.5844907407407408	0.5150602904012769	4705	0.4404528403366135	0.5397866189886428
expanded_val	baseline	derived_hard_reduction_hybrid_pred	baseline	48	864	0.08632730234909525	0.07626739098364096	0.10015334632905103	0.006753125000000017	0.019714374999999985	0.4791666666666667	0.6238425925925926	0.5352698885071121	4704	0.503517830531762	0.5989049760644489
transfer	baseline	hybrid_pred	baseline	6	288	0.32739827342251004	0.2946054748463409	0.24872425030946518	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.6662664545653461	3713	0.666113669273081	0.6905815150134553
transfer	baseline	hard_reduction_total_pred	baseline	6	288	0.3244427102285325	0.2911661969881704	0.2477195136191581	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.6651440076486471	3713	0.6609584785977999	0.6871723815255093
transfer	baseline	reward_pred	baseline	6	288	0.2947420051224239	0.28384760501635947	0.24479594445031724	0.0029666666666666544	0.02022333333333337	0.5	0.6597222222222222	0.6410565601123085	3713	0.5173237249928753	0.5710912425163385
transfer	baseline	bounded_residual_hybrid_pred	baseline	6	288	0.32483519949881423	0.2921239250181256	0.24798503275462389	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.6654057816973797	3713	0.6626573372031975	0.6882844310502662
transfer	baseline	derived_hard_reduction_hybrid_pred	baseline	6	288	0.046112501515520245	0.03483339939288831	0.04740222623986624	0.0012266666666666537	0.021963333333333373	0.5	0.8298611111111112	0.5199180632697061	3713	0.529230182491991	0.565558125812923
train	linear	ranker_score	ranker	288	5184	0.049861714440894905	0.05470564253648482	0.012748152151931797	0.002085520833333344	0.014435138888888885	0.1076388888888889	0.50366512345679	0.5047484763747747	18466	0.43627432157516677	0.5398887389734477
